block,feature,line,orientation,x_cm,y_cm,twt_ns,depth_m
B,B-2,14,Y-line,0.0,14.9,32.959,1.9808
B,B-2,14,Y-line,0.0,17.4,33.2031,1.9955
B,B-2,14,Y-line,0.0,19.9,33.3252,2.0028
B,B-2,14,Y-line,0.0,22.4,33.5693,2.0175
B,B-2,14,Y-line,0.0,24.9,33.6914,2.0249
B,B-2,14,Y-line,0.0,27.4,33.9355,2.0395
B,B-2,14,Y-line,0.0,29.9,34.1797,2.0542
B,B-2,14,Y-line,0.0,32.4,34.1797,2.0542
B,B-2,14,Y-line,0.0,34.9,34.1797,2.0542
B,B-2,14,Y-line,0.0,37.4,34.1797,2.0542
B,B-2,14,Y-line,0.0,39.8,34.1797,2.0542
B,B-2,14,Y-line,0.0,42.3,34.1797,2.0542
B,B-2,14,Y-line,0.0,44.8,34.3018,2.0615
B,B-2,14,Y-line,0.0,47.3,34.3018,2.0615
B,B-2,14,Y-line,0.0,49.8,34.5459,2.0762
B,B-2,14,Y-line,0.0,52.3,34.668,2.0835
B,B-2,14,Y-line,0.0,54.8,34.9121,2.0982
B,B-2,14,Y-line,0.0,57.3,35.1562,2.1129
B,B-2,14,Y-line,0.0,59.8,35.2783,2.1202
B,B-2,14,Y-line,0.0,62.3,35.5225,2.1349
B,B-2,14,Y-line,0.0,64.7,35.6445,2.1422
B,B-2,14,Y-line,0.0,67.2,35.8887,2.1569
B,B-2,14,Y-line,0.0,69.7,36.1328,2.1716
B,B-2,14,Y-line,0.0,72.2,36.2549,2.1789
B,B-2,14,Y-line,0.0,74.7,36.499,2.1936
B,B-2,14,Y-line,0.0,77.2,36.7432,2.2083
B,B-2,14,Y-line,0.0,79.7,36.8652,2.2156
B,B-2,14,Y-line,0.0,82.2,37.1094,2.2303
B,B-2,14,Y-line,0.0,84.7,37.2314,2.2376
B,B-2,14,Y-line,0.0,87.2,37.4756,2.2523
B,B-2,14,Y-line,0.0,89.6,37.7197,2.267
B,B-2,14,Y-line,0.0,92.1,37.8418,2.2743
B,B-2,14,Y-line,0.0,94.6,38.0859,2.289
B,B-2,14,Y-line,0.0,97.1,38.3301,2.3036
B,B-2,14,Y-line,0.0,99.6,38.4521,2.311
B,B-2,14,Y-line,0.0,102.1,38.6963,2.3256
B,B-2,14,Y-line,0.0,104.6,38.8184,2.333
B,B-2,14,Y-line,0.0,107.1,39.0625,2.3477
B,B-2,14,Y-line,0.0,109.6,39.3066,2.3623
B,B-2,14,Y-line,0.0,112.0,39.4287,2.3697
B,B-2,14,Y-line,0.0,114.5,39.6728,2.3843
B,B-2,14,Y-line,0.0,117.0,39.7949,2.3917
B,B-2,14,Y-line,0.0,119.5,40.0391,2.4063
B,B-2,14,Y-line,0.0,122.0,40.2832,2.421
B,B-2,14,Y-line,0.0,124.5,40.4053,2.4284
B,B-2,14,Y-line,0.0,127.0,40.6494,2.443
B,B-2,14,Y-line,0.0,129.5,40.8936,2.4577
B,B-2,14,Y-line,0.0,132.0,41.0156,2.465
B,B-2,14,Y-line,0.0,134.5,41.2598,2.4797
B,B-2,14,Y-line,0.0,137.0,41.3818,2.487
B,B-2,14,Y-line,0.0,139.4,41.626,2.5017
B,B-2,14,Y-line,0.0,141.9,41.8701,2.5164
B,B-2,14,Y-line,0.0,144.4,41.9922,2.5237
B,B-2,14,Y-line,0.0,146.9,42.2363,2.5384
B,B-2,14,Y-line,0.0,149.4,42.4805,2.5531
B,B-2,14,Y-line,0.0,151.9,42.6025,2.5604
B,B-2,14,Y-line,0.0,154.4,42.8467,2.5751
B,B-2,14,Y-line,0.0,156.9,42.9687,2.5824
B,B-2,14,Y-line,0.0,159.4,43.2129,2.5971
B,B-2,14,Y-line,0.0,161.9,43.457,2.6118
B,B-2,14,Y-line,0.0,164.3,43.5791,2.6191
B,B-2,14,Y-line,0.0,166.8,43.8232,2.6338
B,B-2,14,Y-line,0.0,169.3,44.0674,2.6484
B,B-2,14,Y-line,0.0,171.8,44.1894,2.6558
B,B-2,14,Y-line,0.0,174.3,44.4336,2.6705
B,B-2,14,Y-line,0.0,176.8,44.5557,2.6778
B,B-2,14,Y-line,0.0,179.3,44.7998,2.6925
B,B-2,14,Y-line,0.0,181.8,45.0439,2.7071
B,B-2,14,Y-line,0.0,184.3,45.166,2.7145
B,B-2,14,Y-line,0.0,186.8,45.4102,2.7292
B,B-2,14,Y-line,0.0,189.2,45.6543,2.7438
B,B-2,14,Y-line,0.0,191.7,45.6543,2.7438
B,B-2,14,Y-line,0.0,194.2,45.8984,2.7585
B,B-2,14,Y-line,0.0,196.7,45.8984,2.7585
B,B-2,14,Y-line,0.0,199.2,46.1426,2.7732
B,B-2,14,Y-line,0.0,201.7,46.3867,2.7878
B,B-2,14,Y-line,0.0,204.2,46.5088,2.7952
B,B-2,14,Y-line,0.0,206.7,46.7529,2.8099
B,B-2,14,Y-line,0.0,209.2,46.875,2.8172
B,B-2,14,Y-line,0.0,211.6,47.1191,2.8319
B,B-2,14,Y-line,0.0,214.1,47.3633,2.8465
B,B-2,14,Y-line,0.0,216.6,47.4853,2.8539
B,B-2,14,Y-line,0.0,219.1,47.7295,2.8685
B,B-2,14,Y-line,0.0,221.6,47.9736,2.8832
B,B-2,14,Y-line,0.0,224.1,48.0957,2.8906
B,B-2,14,Y-line,0.0,226.6,48.3398,2.9052
B,B-2,14,Y-line,0.0,229.1,48.4619,2.9126
B,B-2,14,Y-line,0.0,231.6,48.706,2.9272
B,B-2,14,Y-line,0.0,234.1,48.9502,2.9419
B,B-2,14,Y-line,0.0,236.6,49.0723,2.9492
B,B-2,14,Y-line,0.0,239.0,49.3164,2.9639
B,B-2,14,Y-line,0.0,241.5,49.5605,2.9786
B,B-2,14,Y-line,0.0,244.0,49.6826,2.9859
B,B-2,14,Y-line,0.0,246.5,49.9268,3.0006
B,B-2,14,Y-line,0.0,249.0,50.0488,3.0079
B,B-2,14,Y-line,0.0,251.5,50.293,3.0226
B,B-2,14,Y-line,0.0,254.0,50.5371,3.0373
B,B-2,14,Y-line,0.0,256.5,50.5371,3.0373
B,B-2,14,Y-line,0.0,259.0,50.7812,3.052
B,B-2,14,Y-line,0.0,261.5,51.0254,3.0666
B,B-2,14,Y-line,0.0,263.9,51.1475,3.074
B,B-2,14,Y-line,0.0,266.4,51.3916,3.0886
B,B-2,14,Y-line,0.0,268.9,51.5137,3.096
B,B-2,14,Y-line,0.0,271.4,51.7578,3.1106
B,B-2,14,Y-line,0.0,273.9,52.0019,3.1253
B,B-2,14,Y-line,0.0,276.4,52.0019,3.1253
B,B-2,14,Y-line,0.0,278.9,52.0019,3.1253
B,B-2,14,Y-line,0.0,281.4,52.2461,3.14
B,B-2,14,Y-line,0.0,283.9,52.3682,3.1473
B,B-2,14,Y-line,0.0,286.4,52.6123,3.162
B,B-2,14,Y-line,0.0,288.8,52.7344,3.1693
B,B-2,14,Y-line,0.0,291.3,52.9785,3.184
B,B-2,14,Y-line,0.0,293.8,53.2227,3.1987
B,B-2,14,Y-line,0.0,296.3,53.3447,3.206
B,B-2,14,Y-line,0.0,298.8,53.5889,3.2207
B,B-2,14,Y-line,0.0,301.3,53.7109,3.228
B,B-2,14,Y-line,0.0,303.8,53.9551,3.2427
B,B-2,14,Y-line,0.0,306.3,54.1992,3.2574
B,B-2,14,Y-line,0.0,308.8,54.3213,3.2647
B,B-2,14,Y-line,0.0,311.2,54.5654,3.2794
B,B-2,14,Y-line,0.0,313.7,54.8096,3.2941
B,B-2,14,Y-line,0.0,316.2,54.9316,3.3014
B,B-2,14,Y-line,0.0,318.7,55.1758,3.3161
B,B-2,14,Y-line,0.0,321.2,55.1758,3.3161
B,B-2,14,Y-line,0.0,323.7,55.4199,3.3307
B,B-2,14,Y-line,0.0,326.2,55.6641,3.3454
B,B-2,14,Y-line,0.0,328.7,55.6641,3.3454
B,B-2,14,Y-line,0.0,331.2,55.6641,3.3454
B,B-2,14,Y-line,0.0,333.7,55.6641,3.3454
B,B-2,14,Y-line,0.0,336.2,55.7861,3.3527
B,B-2,14,Y-line,0.0,338.6,56.0303,3.3674
B,B-2,14,Y-line,0.0,341.1,56.1523,3.3748
B,B-2,14,Y-line,0.0,343.6,56.3965,3.3894
B,B-2,14,Y-line,0.0,346.1,56.6406,3.4041
B,B-2,14,Y-line,0.0,348.6,56.6406,3.4041
B,B-2,14,Y-line,0.0,351.1,56.8848,3.4188
B,B-2,14,Y-line,0.0,353.6,57.1289,3.4334
B,B-2,14,Y-line,0.0,356.1,57.1289,3.4334
B,B-2,14,Y-line,0.0,358.6,57.373,3.4481
B,B-2,14,Y-line,0.0,361.0,57.4951,3.4555
B,B-2,14,Y-line,0.0,363.5,57.7393,3.4701
B,B-2,14,Y-line,0.0,366.0,57.9834,3.4848
B,B-2,14,Y-line,0.0,368.5,58.1055,3.4921
B,B-2,14,Y-line,0.0,371.0,58.3496,3.5068
B,B-2,14,Y-line,0.0,373.5,58.5937,3.5215
B,B-2,14,Y-line,0.0,376.0,58.7158,3.5288
B,B-2,14,Y-line,0.0,378.5,58.96,3.5435
B,B-2,14,Y-line,0.0,381.0,59.082,3.5508
B,B-2,14,Y-line,0.0,383.5,59.3262,3.5655
B,B-2,14,Y-line,0.0,386.0,59.5703,3.5802
B,B-2,14,Y-line,0.0,388.4,59.5703,3.5802
B,B-2,14,Y-line,0.0,390.9,59.8144,3.5948
B,B-2,14,Y-line,0.0,393.4,59.9365,3.6022
B,B-2,14,Y-line,0.0,395.9,60.1807,3.6169
B,B-2,14,Y-line,0.0,398.4,60.4248,3.6315
B,B-2,14,Y-line,0.0,400.9,60.5469,3.6389
B,B-2,14,Y-line,0.0,403.4,60.791,3.6535
B,B-2,14,Y-line,0.0,405.9,61.0352,3.6682
B,B-2,14,Y-line,0.0,408.4,61.0352,3.6682
B,B-2,14,Y-line,0.0,410.8,61.0352,3.6682
B,B-2,14,Y-line,0.0,413.3,61.1572,3.6755
B,B-2,14,Y-line,0.0,415.8,61.4014,3.6902
B,B-2,14,Y-line,0.0,418.3,61.6455,3.7049
B,B-2,14,Y-line,0.0,420.8,61.7676,3.7122
B,B-2,14,Y-line,0.0,423.3,62.0117,3.7269
B,B-2,14,Y-line,0.0,425.8,62.2559,3.7416
B,B-2,14,Y-line,0.0,428.3,62.2559,3.7416
