trace_id,vertex,x_cm,y_cm,length_m
1,0,189.1,287.9,2.40
1,1,188.5,290.8,2.40
1,2,187.3,295.7,2.40
1,3,185.9,300.7,2.40
1,4,184.0,305.5,2.40
1,5,181.7,310.0,2.40
1,6,174.6,332.5,2.40
1,7,175.6,335.9,2.40
1,8,176.7,340.8,2.40
1,9,173.3,344.8,2.40
1,10,171.6,349.9,2.40
1,11,168.8,354.3,2.40
1,12,166.0,358.7,2.40
1,13,160.7,382.1,2.40
1,14,160.4,383.1,2.40
1,15,159.1,388.0,2.40
1,16,158.1,392.9,2.40
1,17,156.1,397.6,2.40
1,18,147.8,419.8,2.40
1,19,147.0,423.0,2.40
1,20,144.9,427.7,2.40
1,21,142.9,432.3,2.40
1,22,137.9,458.6,2.40
1,23,137.6,463.0,2.40
1,24,137.0,468.0,2.40
1,25,136.8,473.1,2.40
1,26,135.8,478.1,2.40
1,27,135.2,483.2,2.40
1,28,133.1,496.2,2.40
1,29,132.8,497.4,2.40
1,30,131.3,502.3,2.40
1,31,130.2,507.3,2.40
1,32,129.4,512.3,2.40
1,33,128.7,517.3,2.40
2,0,547.3,246.9,1.99
2,1,545.2,245.8,1.99
2,2,541.3,242.6,1.99
2,3,537.0,239.8,1.99
2,4,532.6,237.0,1.99
2,5,528.7,233.8,1.99
2,6,524.4,230.2,1.99
2,7,520.9,227.0,1.99
2,8,517.0,223.8,1.99
2,9,513.1,220.6,1.99
2,10,508.8,217.4,1.99
2,11,504.5,214.6,1.99
2,12,481.1,196.8,1.99
2,13,479.3,195.9,1.99
2,14,475.2,192.2,1.99
2,15,471.5,188.6,1.99
2,16,468.2,184.1,1.99
2,17,464.1,180.9,1.99
2,18,460.0,177.3,1.99
2,19,455.4,175.0,1.99
2,20,449.8,168.2,1.99
2,21,447.8,165.5,1.99
2,22,442.3,164.2,1.99
2,23,437.4,161.9,1.99
2,24,433.1,158.9,1.99
2,25,428.8,155.9,1.99
2,26,424.0,153.3,1.99
2,27,407.6,138.1,1.99
2,28,403.1,135.7,1.99
2,29,398.3,134.2,1.99
2,30,393.6,131.1,1.99
2,31,390.8,128.0,1.99
3,0,195.6,532.8,1.97
3,1,195.7,527.5,1.97
3,2,196.2,522.5,1.97
3,3,196.6,517.5,1.97
3,4,196.1,485.1,1.97
3,5,195.9,480.0,1.97
3,6,195.7,474.9,1.97
3,7,195.8,470.7,1.97
3,8,194.0,447.0,1.97
3,9,194.3,442.0,1.97
3,10,194.5,436.7,1.97
3,11,195.0,431.7,1.97
3,12,194.9,430.8,1.97
3,13,194.7,422.1,1.97
3,14,194.6,421.8,1.97
3,15,193.5,416.9,1.97
3,16,193.4,411.6,1.97
3,17,193.9,406.6,1.97
3,18,195.8,398.0,1.97
3,19,195.9,394.9,1.97
3,20,195.2,389.7,1.97
3,21,194.5,384.4,1.97
3,22,193.5,379.2,1.97
3,23,192.8,374.0,1.97
3,24,191.8,368.8,1.97
3,25,191.4,367.7,1.97
3,26,190.1,362.9,1.97
3,27,188.5,358.1,1.97
3,28,186.0,353.7,1.97
3,29,182.9,349.7,1.97
3,30,180.0,345.6,1.97
3,31,177.7,341.0,1.97
3,32,177.0,340.8,1.97
4,0,-22.3,74.6,1.38
4,1,-17.1,73.7,1.38
4,2,0.2,47.6,1.38
4,3,5.1,46.6,1.38
4,4,10.0,44.8,1.38
4,5,14.5,42.6,1.38
4,6,19.4,40.9,1.38
4,7,24.3,38.7,1.38
4,8,28.7,35.8,1.38
4,9,33.2,32.8,1.38
4,10,37.7,29.8,1.38
4,11,42.5,27.9,1.38
4,12,47.0,25.6,1.38
4,13,48.1,25.1,1.38
4,14,56.8,20.9,1.38
4,15,61.8,19.2,1.38
4,16,66.8,17.9,1.38
4,17,71.5,15.6,1.38
4,18,72.7,15.5,1.38
4,19,81.2,12.5,1.38
4,20,85.9,10.1,1.38
4,21,90.6,7.8,1.38
4,22,92.3,6.8,1.38
5,0,373.3,72.9,1.25
5,1,374.5,76.6,1.25
5,2,376.5,81.2,1.25
5,3,378.1,86.3,1.25
5,4,379.3,91.4,1.25
5,5,381.7,96.0,1.25
5,6,383.3,101.3,1.25
5,7,384.7,106.4,1.25
5,8,387.1,111.0,1.25
5,9,389.2,115.7,1.25
5,10,390.2,120.8,1.25
5,11,390.7,126.0,1.25
5,12,385.8,127.0,1.25
5,13,380.5,127.0,1.25
5,14,375.6,128.7,1.25
