trace_id,vertex,x_cm,y_cm
7,0,-22.3,74.6
7,1,-17.1,73.7
7,2,0.2,47.6
7,3,5.1,46.6
7,4,10.0,44.8
7,5,14.5,42.6
7,6,19.4,40.9
7,7,24.3,38.7
7,8,28.7,35.8
7,9,33.2,32.8
7,10,37.7,29.8
7,11,42.5,27.9
7,12,47.0,25.6
7,13,48.1,25.1
39,0,370.7,129.9
39,1,375.6,128.7
39,2,380.5,127.0
39,3,385.8,127.0
39,4,390.7,126.0
39,5,390.2,120.8
39,6,389.2,115.7
39,7,387.1,111.0
39,8,384.7,106.4
39,9,383.3,101.3
39,10,381.7,96.0
39,11,379.3,91.4
39,12,378.1,86.3
39,13,376.5,81.2
39,14,374.5,76.6
39,15,373.3,72.9
18,0,155.1,135.7
18,1,160.0,137.7
18,2,165.2,137.4
18,3,170.3,137.2
18,4,175.4,135.8
18,5,179.5,132.8
18,6,180.1,127.8
18,7,180.2,122.3
18,8,180.3,116.8
18,9,179.7,111.4
18,10,179.6,107.5
31,0,225.7,138.6
31,1,230.0,141.6
31,2,234.3,138.6
31,3,237.1,134.1
31,4,238.2,128.7
31,5,238.3,123.4
31,6,238.2,118.1
31,7,238.0,112.8
31,8,237.9,107.5
31,9,237.5,105.4
42,0,407.2,533.4
42,1,412.6,533.9
42,2,417.8,533.9
42,3,422.3,530.9
42,4,425.0,526.5
42,5,425.6,521.5
42,6,427.4,516.5
42,7,428.8,511.5
42,8,429.0,509.5
11,0,110.5,0.0
11,1,100.0,24.3
11,2,104.1,21.1
11,3,106.7,16.9
46,0,455.4,175.0
46,1,460.0,177.3
46,2,464.1,180.9
46,3,468.2,184.1
46,4,471.5,188.6
46,5,475.2,192.2
46,6,479.3,195.9
46,7,481.1,196.8
20,0,191.4,367.7
20,1,190.1,362.9
20,2,188.5,358.1
20,3,186.0,353.7
20,4,182.9,349.7
20,5,180.0,345.6
20,6,177.7,341.0
20,7,177.0,340.8
19,0,166.0,358.7
19,1,168.8,354.3
19,2,171.6,349.9
19,3,173.3,344.8
19,4,176.7,340.8
19,5,175.6,335.9
19,6,174.6,332.5
26,0,191.8,368.8
26,1,192.8,374.0
26,2,193.5,379.2
26,3,194.5,384.4
26,4,195.2,389.7
26,5,195.9,394.9
26,6,195.8,398.0
44,0,424.0,153.3
44,1,428.8,155.9
44,2,433.1,158.9
44,3,437.4,161.9
44,4,442.3,164.2
44,5,447.8,165.5
44,6,449.8,168.2
38,0,364.1,70.1
38,1,369.5,71.0
38,2,374.4,71.9
38,3,379.6,71.2
38,4,384.9,70.6
38,5,387.8,66.2
38,6,388.8,63.3
27,0,188.3,16.4
27,1,192.8,18.5
27,2,198.0,19.1
27,3,203.2,17.9
27,4,208.4,17.8
27,5,213.1,16.1
36,0,310.2,68.4
36,1,315.4,68.5
36,2,320.8,68.2
36,3,325.8,68.1
36,4,330.9,68.1
36,5,336.0,68.5
36,6,336.4,68.5
15,0,135.2,483.2
15,1,135.8,478.1
15,2,136.8,473.1
15,3,137.0,468.0
15,4,137.6,463.0
15,5,137.9,458.6
48,0,461.0,67.7
48,1,466.3,67.6
48,2,471.3,67.5
48,3,476.4,67.9
48,4,481.4,68.3
48,5,485.9,66.7
49,0,504.5,214.6
49,1,508.8,217.4
49,2,513.1,220.6
49,3,517.0,223.8
49,4,520.9,227.0
49,5,524.4,230.2
13,0,116.4,138.7
13,1,121.0,141.5
13,2,126.2,140.9
13,3,131.5,140.4
13,4,136.7,139.8
13,5,138.2,140.4
21,0,181.7,310.0
21,1,184.0,305.5
21,2,185.9,300.7
21,3,187.3,295.7
21,4,188.5,290.8
21,5,189.1,287.9
47,0,459.2,160.6
47,1,464.2,160.0
47,2,469.2,159.9
47,3,474.2,159.2
47,4,479.2,158.6
47,5,482.1,158.1
51,0,528.7,233.8
51,1,532.6,237.0
51,2,537.0,239.8
51,3,541.3,242.6
51,4,545.2,245.8
51,5,547.3,246.9
12,0,128.7,517.3
12,1,129.4,512.3
12,2,130.2,507.3
12,3,131.3,502.3
12,4,132.8,497.4
12,5,133.1,496.2
30,0,214.1,196.8
30,1,216.0,191.7
30,2,217.5,186.5
30,3,218.5,181.4
30,4,219.8,176.3
30,5,219.8,175.8
34,0,311.0,133.1
34,1,315.8,131.6
34,2,320.7,130.2
34,3,322.9,125.4
34,4,322.4,120.2
34,5,322.4,118.7
32,0,227.7,162.7
32,1,229.6,157.9
32,2,230.7,152.8
