trace_id,vertex,x_cm,y_cm
50,0,186.1,77.5
50,1,182.8,73.3
50,2,177.6,75.1
50,3,172.4,76.8
50,4,167.2,78.3
50,5,162.6,80.4
50,6,158.1,82.6
50,7,152.9,84.1
50,8,147.4,84.2
50,9,142.2,83.6
50,10,137.0,83.0
50,11,131.9,83.9
50,12,126.7,84.1
50,13,121.6,83.5
50,14,116.4,82.2
50,15,111.9,79.6
50,16,106.8,77.6
50,17,101.6,76.4
50,18,97.0,74.4
50,19,91.9,72.5
50,20,86.9,70.6
50,21,81.9,69.4
50,22,76.9,69.0
50,23,71.9,67.8
50,24,66.9,67.3
50,25,62.0,65.9
50,26,57.1,63.8
50,27,52.2,61.8
7,0,43.0,547.7
7,1,37.8,545.5
7,2,33.3,542.7
7,3,28.7,539.4
7,4,24.1,536.1
7,5,19.5,533.4
7,6,14.7,532.0
7,7,9.5,531.0
7,8,4.4,530.6
7,9,0.0,526.3
7,10,0.0,517.2
7,11,0.0,508.1
7,12,0.0,501.2
7,13,0.0,493.1
7,14,38.3,508.0
7,15,33.7,505.2
7,16,31.9,503.8
37,0,3.0,171.8
37,1,6.6,168.1
37,2,11.4,166.0
37,3,16.1,163.9
37,4,20.3,160.8
37,5,24.5,157.4
37,6,29.2,155.3
37,7,34.0,152.9
37,8,37.6,148.9
37,9,41.8,145.5
37,10,46.5,143.1
37,11,51.3,141.4
37,12,56.2,139.3
37,13,61.1,137.5
37,14,66.1,135.4
37,15,71.2,132.7
37,16,75.6,129.7
37,17,79.3,126.2
37,18,83.7,123.2
37,19,88.8,120.9
37,20,93.9,118.3
37,21,93.9,117.9
47,0,840.8,10.4
47,1,842.2,15.3
47,2,842.7,20.5
47,3,843.6,25.7
47,4,844.1,31.0
47,5,844.5,36.2
47,6,844.6,41.4
47,7,843.8,46.7
47,8,841.9,51.7
47,9,840.5,57.0
47,10,838.6,61.7
47,11,837.2,67.0
47,12,836.2,72.3
47,13,834.8,77.6
47,14,833.0,82.3
47,15,830.9,87.2
47,16,828.5,92.1
47,17,827.2,93.2
49,0,329.1,89.6
49,1,323.8,87.8
49,2,319.1,86.0
49,3,314.3,84.2
49,4,309.1,83.0
49,5,303.9,81.8
49,6,298.3,81.4
49,7,293.4,80.3
49,8,288.5,78.6
49,9,283.5,76.9
49,10,278.5,73.9
49,11,273.8,70.8
49,12,269.3,68.3
49,13,264.8,65.9
49,14,259.6,63.5
49,15,255.8,61.7
59,0,653.7,0.0
59,1,721.6,-24.2
59,2,718.6,-28.9
59,3,717.4,-29.4
58,0,106.2,5.4
58,1,111.4,4.0
58,2,116.6,2.3
58,3,122.4,0.0
58,4,117.3,0.0
58,5,110.0,0.0
58,6,142.3,-18.4
58,7,144.5,-23.2
58,8,146.2,-24.1
15,0,752.0,342.3
15,1,756.2,338.9
15,2,758.8,334.3
15,3,761.1,329.4
15,4,763.7,324.9
15,5,767.2,321.1
15,6,768.6,316.2
15,7,770.9,311.7
15,8,773.5,307.1
15,9,776.6,303.0
15,10,778.8,298.3
15,11,780.4,293.3
15,12,780.5,287.9
15,13,780.5,287.4
5,0,97.7,575.0
5,1,93.9,571.5
5,2,88.8,570.2
5,3,83.7,567.9
5,4,79.3,565.1
5,5,74.2,562.8
5,6,69.8,560.5
5,7,65.3,557.0
5,8,60.9,554.4
5,9,55.8,552.8
28,0,185.6,186.1
28,1,182.6,190.2
