trace_id,vertex,x_cm,y_cm
72,0,663.4,69.8
72,1,665.9,74.3
72,2,667.4,79.7
72,3,667.8,85.1
72,4,668.3,90.5
72,5,669.2,95.9
72,6,670.6,101.0
72,7,671.6,106.0
72,8,671.5,111.0
72,9,670.3,116.0
72,10,669.1,121.1
72,11,664.6,123.5
72,12,659.6,125.2
72,13,654.6,126.9
72,14,649.6,128.9
72,15,644.5,131.0
72,16,639.4,132.4
72,17,634.3,133.7
72,18,629.2,135.1
72,19,624.0,136.8
72,20,618.9,138.5
72,21,613.8,140.3
72,22,608.7,141.2
72,23,603.3,142.1
72,24,598.3,142.5
72,25,593.2,143.5
72,26,588.2,145.2
72,27,583.1,147.3
72,28,578.5,149.3
72,29,575.0,153.2
72,30,571.6,157.2
72,31,568.7,162.1
72,32,564.8,165.6
72,33,560.1,168.2
72,34,555.4,170.3
72,35,550.6,172.0
72,36,545.2,173.4
72,37,540.9,176.4
72,38,541.2,181.7
42,0,536.6,473.5
42,1,537.0,468.4
42,2,537.3,463.3
42,3,537.1,458.3
42,4,538.1,453.2
42,5,538.4,447.6
42,6,538.8,441.7
42,7,539.9,436.8
42,8,540.3,430.9
42,9,540.7,425.0
42,10,541.1,419.1
42,11,541.6,413.2
42,12,542.0,407.4
42,13,543.0,401.5
42,14,544.1,396.5
42,15,545.2,391.6
42,16,545.6,385.7
42,17,547.9,380.7
42,18,550.7,375.7
42,19,552.9,370.6
42,20,554.7,365.6
42,21,556.0,360.6
42,22,556.8,355.6
42,23,558.1,350.6
42,24,561.3,346.4
42,25,563.7,342.0
42,26,564.6,339.8
52,0,521.7,304.8
52,1,526.8,303.8
52,2,532.0,302.2
52,3,537.1,300.7
52,4,542.2,299.8
52,5,547.4,298.6
52,6,552.4,296.8
52,7,557.7,295.8
52,8,562.5,293.6
52,9,567.3,291.8
52,10,570.6,287.9
52,11,571.4,282.9
52,12,571.7,277.7
52,13,572.0,272.6
52,14,572.7,267.4
52,15,575.1,262.8
52,16,580.4,262.1
52,17,585.8,261.5
52,18,591.1,260.8
52,19,596.4,259.8
52,20,601.3,258.4
52,21,606.1,256.6
52,22,611.5,255.7
52,23,616.8,255.8
52,24,622.1,255.4
52,25,626.3,255.3
34,0,581.6,509.7
34,1,579.1,514.9
34,2,578.4,520.0
34,3,577.6,525.5
34,4,576.4,530.5
34,5,571.4,530.8
34,6,566.3,531.5
34,7,561.3,531.7
34,8,556.2,533.5
34,9,551.6,536.4
34,10,546.7,538.1
34,11,541.7,539.8
34,12,536.6,538.2
34,13,532.0,534.9
34,14,526.9,532.8
34,15,523.6,528.8
34,16,521.4,524.2
34,17,520.6,518.9
34,18,516.6,515.5
34,19,511.6,514.6
34,20,507.0,511.2
34,21,501.9,509.2
34,22,496.6,509.2
34,23,495.1,509.2
61,0,501.9,236.7
61,1,496.7,235.8
61,2,491.7,234.9
61,3,486.7,233.2
61,4,482.7,229.8
61,5,478.7,226.0
61,6,474.7,222.2
61,7,471.3,218.0
61,8,467.8,214.2
61,9,463.3,210.9
61,10,459.8,207.0
61,11,458.4,201.9
61,12,454.9,198.1
61,13,449.9,196.8
61,14,444.8,196.2
61,15,439.8,195.6
61,16,434.6,193.4
61,17,429.5,191.2
61,18,425.3,188.1
61,19,420.5,185.9
61,20,417.4,181.6
61,21,416.8,180.9
68,0,245.1,143.6
68,1,250.1,145.3
68,2,255.1,147.4
68,3,260.1,149.1
68,4,265.0,151.3
68,5,270.1,153.0
68,6,275.0,155.1
68,7,280.1,156.8
68,8,285.0,159.0
68,9,289.9,161.2
68,10,294.9,163.3
68,11,299.9,165.0
68,12,304.1,168.0
68,13,308.8,171.0
68,14,313.6,173.7
68,15,318.9,175.4
68,16,324.1,177.0
68,17,329.4,178.2
68,18,331.1,180.1
67,0,403.9,191.2
67,1,399.2,193.7
67,2,394.0,192.0
67,3,388.7,190.4
67,4,383.5,188.8
67,5,378.2,187.5
67,6,373.0,186.3
67,7,367.8,185.1
67,8,362.5,183.4
67,9,357.3,182.6
67,10,352.1,182.6
67,11,346.8,181.8
67,12,341.6,181.0
67,13,336.4,180.1
67,14,331.2,180.5
67,15,327.8,184.8
67,16,322.6,185.6
67,17,317.3,186.0
67,18,316.8,185.9
4,0,292.4,814.4
4,1,297.8,813.5
4,2,303.1,812.6
4,3,308.5,813.0
4,4,313.9,812.9
4,5,319.2,812.5
4,6,324.6,812.0
4,7,330.0,811.9
4,8,328.9,800.0
4,9,334.8,800.0
4,10,341.3,811.8
4,11,341.2,800.0
4,12,340.6,800.0
27,0,704.0,597.9
27,1,701.7,593.1
27,2,699.4,588.3
27,3,691.8,590.6
27,4,688.0,586.9
27,5,682.8,586.9
27,6,678.7,590.0
27,7,673.4,589.4
27,8,668.7,587.5
27,9,666.2,582.8
27,10,663.7,578.5
27,11,667.9,575.3
27,12,671.8,578.8
27,13,676.1,581.7
27,14,680.0,585.4
27,15,681.4,586.9
32,0,592.6,543.0
32,1,588.8,539.5
32,2,587.1,544.5
32,3,588.9,549.8
32,4,593.1,552.6
