id,length_m,width_mm,persistence,angle_deg,x0,x1,y0,y1,dist_to_sketch_cm,chalk
1,2.78,9.1,0.372,174.8,106.0,240.0,4.0,42.0,22.7,0
16,1.86,18.0,0.705,6.8,4.0,142.0,160.0,198.0,8.2,0
19,1.2,19.7,0.701,8.3,188.0,294.0,190.0,216.0,14.4,0
2,0.52,28.6,0.177,54.0,904.0,928.0,4.0,30.0,77.2,0
20,0.48,53.8,0.18,89.8,624.0,634.0,204.0,236.0,11.5,0
6,0.42,10.7,0.4,163.0,104.0,144.0,54.0,66.0,23.0,0
25,0.42,22.4,0.299,26.7,606.0,634.0,256.0,274.0,28.3,0
29,0.4,22.9,0.309,175.7,254.0,292.0,324.0,328.0,94.8,0
22,0.38,22.0,0.505,8.5,408.0,444.0,232.0,238.0,40.3,0
23,0.38,19.8,0.464,8.9,456.0,492.0,236.0,242.0,37.0,0
11,0.36,47.0,0.664,94.6,632.0,634.0,106.0,140.0,100.7,0
21,0.36,19.1,0.706,5.0,306.0,340.0,218.0,222.0,14.3,0
31,0.36,22.5,0.292,167.2,208.0,242.0,328.0,336.0,51.8,0
34,0.36,22.3,0.284,106.5,18.0,32.0,564.0,588.0,32.1,0
30,0.34,17.8,0.198,9.4,760.0,788.0,326.0,340.0,2.3,0
33,0.32,18.9,0.286,169.2,842.0,858.0,562.0,574.0,206.6,0
27,0.3,18.9,0.398,164.9,204.0,232.0,276.0,284.0,41.6,0
3,0.28,10.5,0.344,166.1,308.0,328.0,12.0,20.0,66.0,0
15,0.28,19.3,0.297,169.6,710.0,736.0,156.0,162.0,63.9,0
18,0.28,35.2,0.226,73.4,626.0,636.0,172.0,192.0,43.0,0
4,0.26,9.8,0.515,155.0,272.0,292.0,14.0,26.0,49.7,0
17,0.26,13.7,0.456,10.4,262.0,282.0,172.0,178.0,62.4,0
13,0.24,9.1,0.267,56.0,60.0,74.0,126.0,144.0,6.3,0
26,0.22,18.7,0.386,166.6,258.0,278.0,264.0,268.0,49.7,0
5,0.2,9.6,0.42,141.1,6.0,22.0,54.0,66.0,15.9,0
7,0.2,46.0,0.339,95.6,636.0,638.0,56.0,74.0,66.9,0
9,0.2,7.1,0.218,101.5,186.0,190.0,76.0,94.0,8.5,0
12,0.2,5.6,0.256,82.1,4.0,8.0,122.0,140.0,33.4,1
28,0.2,18.8,0.452,0.0,222.0,240.0,304.0,304.0,68.4,1
