id,length_m,width_mm,persistence,angle_deg,x0,x1,y0,y1,dist_to_sketch_cm,chalk
1,6.12,6.6,0.673,3.7,104.0,346.0,4.0,68.0,30.7,0
2,2.94,6.7,0.714,176.1,354.0,496.0,4.0,44.0,52.2,0
75,2.4,15.4,0.309,117.0,502.0,582.0,524.0,638.0,38.5,0
13,2.16,10.2,0.56,111.7,4.0,58.0,86.0,172.0,174.7,0
35,1.72,14.7,0.323,9.7,558.0,644.0,202.0,236.0,23.3,0
8,1.64,9.7,0.293,90.4,456.0,486.0,56.0,142.0,63.6,0
31,1.38,14.4,0.209,87.8,356.0,384.0,168.0,258.0,6.6,0
44,1.02,22.0,0.235,71.6,360.0,386.0,270.0,338.0,15.9,0
43,0.96,13.9,0.342,103.2,668.0,694.0,258.0,316.0,24.1,0
67,0.92,9.1,0.962,93.6,4.0,24.0,442.0,514.0,104.3,0
61,0.88,24.8,0.195,95.5,556.0,590.0,406.0,442.0,26.5,0
22,0.78,11.0,0.516,3.7,176.0,246.0,132.0,142.0,2.5,0
23,0.78,10.3,0.25,117.6,662.0,696.0,138.0,188.0,31.9,0
37,0.68,13.0,0.206,88.4,454.0,478.0,206.0,238.0,4.8,0
90,0.66,14.3,0.514,26.9,4.0,42.0,764.0,792.0,65.8,0
49,0.64,19.7,0.307,127.5,406.0,440.0,308.0,342.0,16.6,0
3,0.58,10.6,0.307,152.3,52.0,94.0,16.0,40.0,162.3,0
32,0.58,8.8,0.171,24.5,616.0,642.0,168.0,194.0,14.0,0
62,0.58,16.1,0.302,108.8,612.0,632.0,410.0,442.0,80.7,0
27,0.5,10.3,0.231,34.6,156.0,192.0,156.0,184.0,45.0,0
54,0.5,19.1,0.361,120.0,604.0,630.0,360.0,392.0,61.8,0
71,0.5,20.0,0.224,106.0,504.0,522.0,506.0,534.0,7.3,0
29,0.48,13.6,0.272,169.9,462.0,486.0,156.0,176.0,31.3,0
42,0.46,19.6,0.212,114.0,460.0,476.0,256.0,284.0,38.9,0
56,0.46,22.1,0.328,173.2,206.0,242.0,374.0,386.0,85.4,0
11,0.42,6.8,0.433,104.7,658.0,672.0,64.0,94.0,4.9,0
84,0.42,9.5,0.628,170.4,354.0,394.0,676.0,682.0,122.5,0
85,0.42,8.1,0.54,171.0,304.0,344.0,684.0,690.0,114.0,0
33,0.4,11.0,0.305,65.3,558.0,580.0,170.0,192.0,5.8,0
70,0.4,9.8,0.238,177.1,108.0,140.0,484.0,492.0,46.6,0
10,0.38,9.2,0.309,103.7,578.0,592.0,64.0,90.0,34.1,0
47,0.38,18.8,0.354,177.4,206.0,242.0,288.0,290.0,35.8,0
53,0.38,24.5,0.272,162.4,508.0,528.0,356.0,372.0,36.1,0
83,0.38,11.0,0.622,166.1,406.0,442.0,664.0,674.0,129.0,0
34,0.36,13.1,0.29,171.2,308.0,342.0,186.0,190.0,5.0,0
4,0.3,18.2,0.271,124.5,508.0,520.0,26.0,44.0,105.8,0
5,0.3,19.6,0.471,24.7,4.0,20.0,30.0,44.0,208.1,0
39,0.3,18.4,0.318,78.8,332.0,340.0,214.0,242.0,18.8,0
64,0.3,26.9,0.175,7.7,454.0,470.0,424.0,438.0,3.1,0
7,0.26,14.5,0.251,97.6,532.0,538.0,54.0,76.0,78.6,0
57,0.26,22.3,0.276,3.5,170.0,194.0,382.0,384.0,72.3,0
72,0.26,10.9,0.267,164.5,156.0,180.0,508.0,516.0,56.3,0
69,0.24,16.1,0.4,90.0,240.0,240.0,466.0,488.0,105.7,0
73,0.24,15.4,0.416,90.0,240.0,240.0,508.0,530.0,74.0,0
80,0.24,15.7,0.604,0.0,308.0,330.0,630.0,632.0,136.4,0
87,0.24,8.1,0.383,92.2,186.0,188.0,720.0,742.0,84.5,0
21,0.22,13.6,0.245,137.2,504.0,518.0,106.0,120.0,68.3,0
60,0.22,25.7,0.287,136.1,522.0,538.0,406.0,422.0,9.4,0
65,0.22,20.7,0.323,151.9,530.0,542.0,428.0,436.0,2.1,0
77,0.22,10.6,0.518,90.0,238.0,238.0,618.0,638.0,55.3,0
81,0.22,12.6,0.412,163.2,454.0,474.0,654.0,660.0,135.1,0
24,0.2,13.1,0.633,0.0,126.0,144.0,140.0,140.0,60.3,0
52,0.2,22.1,0.463,154.4,516.0,532.0,334.0,342.0,30.5,0
86,0.2,15.4,0.287,90.0,536.0,536.0,708.0,726.0,83.6,0
88,0.2,8.3,0.375,84.4,184.0,186.0,754.0,772.0,78.6,0
18,0.36,11.2,0.71,0.0,160.0,194.0,94.0,94.0,49.6,1
38,0.42,23.1,0.24,101.6,682.0,696.0,212.0,242.0,24.8,1
40,0.32,17.3,0.363,99.1,554.0,558.0,254.0,284.0,12.3,1
48,0.3,11.6,0.811,0.0,604.0,632.0,304.0,304.0,47.6,1
