lx,ly,x,y,zX,zY,d
1,18,0.0,0.0,3.6976,3.5068,0.19079999999999986
1,19,50.0,0.0,3.6389,3.4628,0.17609999999999992
1,20,100.0,0.0,3.5875,3.4848,0.10270000000000001
1,21,150.0,0.0,3.5875,3.2867,0.30079999999999973
1,22,200.0,0.0,3.4555,3.2574,0.19809999999999972
1,23,250.0,0.0,3.3674,3.1693,0.19810000000000016
1,24,300.0,0.0,3.2794,3.052,0.22739999999999982
1,25,350.0,0.0,3.21335,3.1253,0.08804999999999996
1,26,400.0,0.0,3.0079,3.0299,-0.02200000000000024
1,27,450.0,0.0,2.9859,3.14,-0.15410000000000013
1,28,500.0,0.0,2.9859,2.9492,0.03670000000000018
1,29,550.0,0.0,2.9859,2.8539,0.13200000000000012
1,30,600.0,0.0,2.8832,2.9052,-0.021999999999999797
1,31,650.0,0.0,2.8539,2.6484,0.2054999999999998
2,18,0.0,50.0,3.4701,3.4408,0.029300000000000104
2,19,50.0,50.0,3.4701,3.4261,0.04400000000000004
2,20,100.0,50.0,3.4408,3.3968,0.04400000000000004
2,21,150.0,50.0,3.4408,3.2867,0.15409999999999968
2,22,200.0,50.0,3.3014,3.2574,0.04400000000000004
2,23,250.0,50.0,3.2134,3.1693,0.04410000000000025
2,24,300.0,50.0,3.1253,3.052,0.07330000000000014
2,25,350.0,50.0,3.1253,3.0666,0.058699999999999974
2,26,400.0,50.0,3.0593,3.0299,0.02939999999999987
2,27,450.0,50.0,3.0153,3.0299,-0.014600000000000168
2,28,500.0,50.0,2.9786,2.9346,0.04400000000000004
2,29,550.0,50.0,2.9199,2.8539,0.06600000000000028
2,30,600.0,50.0,2.9052,2.9052,0.0
2,31,650.0,50.0,2.9126,2.6484,0.26419999999999977
2,32,700.0,50.0,2.9199,2.7585,0.1614
3,18,0.0,100.0,3.3307,3.3307,0.0
3,19,50.0,100.0,3.2574,3.2427,0.014699999999999935
3,20,100.0,100.0,3.2134,3.2207,-0.007299999999999862
3,21,150.0,100.0,3.14,3.3234,-0.18339999999999979
3,22,200.0,100.0,3.1547,3.1547,0.0
3,23,250.0,100.0,3.1106,3.0666,0.043999999999999595
3,24,300.0,100.0,3.1327,3.0813,0.05139999999999967
3,25,350.0,100.0,3.0226,2.9859,0.03670000000000018
3,26,400.0,100.0,2.9492,3.118,-0.16880000000000006
3,27,450.0,100.0,3.0006,3.0006,0.0
3,28,500.0,100.0,2.8979,2.9272,-0.029300000000000104
3,29,550.0,100.0,2.8759,2.8539,0.02200000000000024
3,30,600.0,100.0,2.8685,2.8392,0.029300000000000104
3,31,650.0,100.0,2.7952,2.6558,0.13939999999999975
4,18,0.0,150.0,2.8319,3.2134,-0.38149999999999995
4,19,50.0,150.0,2.8025,3.14,-0.3374999999999999
4,20,100.0,150.0,2.8319,3.118,-0.2860999999999998
4,21,150.0,150.0,2.9052,3.228,-0.3228000000000004
4,22,200.0,150.0,2.9933,2.9859,0.007400000000000073
4,23,250.0,150.0,3.0079,3.0593,-0.05140000000000011
4,24,300.0,150.0,3.0079,2.9639,0.043999999999999595
4,25,350.0,150.0,3.0079,2.9859,0.021999999999999797
4,26,400.0,150.0,3.074,3.1033,-0.029300000000000104
4,27,450.0,150.0,2.9933,2.9639,0.02939999999999987
4,28,500.0,150.0,2.8759,2.8465,0.029400000000000315
4,29,550.0,150.0,2.8685,2.8539,0.014600000000000168
4,30,600.0,150.0,3.0006,2.8245,0.17609999999999992
4,31,650.0,150.0,2.9713,2.7805,0.19079999999999986
4,32,700.0,150.0,2.9126,2.8319,0.08069999999999977
5,18,0.0,200.0,2.6998,3.1473,-0.4474999999999998
5,19,50.0,200.0,2.7438,3.0666,-0.3228000000000004
5,20,100.0,200.0,2.7585,3.0446,-0.2860999999999998
5,21,150.0,200.0,2.8025,3.228,-0.4255
5,22,200.0,200.0,2.9492,2.9199,0.02929999999999966
5,23,250.0,200.0,2.9492,3.052,-0.10280000000000022
5,24,300.0,200.0,2.9492,2.9052,0.04400000000000004
5,25,350.0,200.0,2.9492,2.9199,0.02929999999999966
5,26,400.0,200.0,3.0299,3.0299,0.0
5,27,450.0,200.0,3.0153,2.9272,0.08809999999999985
5,28,500.0,200.0,2.9713,2.8099,0.1614
5,29,550.0,200.0,2.9713,2.9199,0.05139999999999967
5,30,600.0,200.0,2.9199,2.8979,0.02200000000000024
5,31,650.0,200.0,2.8245,2.8392,-0.014699999999999935
6,18,0.0,250.0,3.1106,3.0813,0.02929999999999966
6,19,50.0,250.0,3.0593,3.0446,0.014699999999999935
6,20,100.0,250.0,3.0446,3.0299,0.014699999999999935
6,21,150.0,250.0,3.0373,3.0372500000000002,4.999999999988347e-05
6,22,200.0,250.0,3.0226,2.7658500000000004,0.2567499999999998
6,23,250.0,250.0,3.0666,3.0373,0.029300000000000104
6,24,300.0,250.0,3.118,2.9126,0.20540000000000003
6,25,350.0,250.0,3.1033,3.0079,0.09540000000000015
6,26,400.0,250.0,3.0813,3.0153,0.06600000000000028
6,27,450.0,250.0,3.0813,3.0153,0.06600000000000028
6,28,500.0,250.0,3.0813,2.7878,0.2935000000000003
6,29,550.0,250.0,3.0446,2.98595,0.05865000000000009
6,30,600.0,250.0,3.0079,2.9566,0.0512999999999999
6,31,650.0,250.0,2.8465,2.8319,0.014599999999999724
7,18,0.0,300.0,3.1253,3.0813,0.04400000000000004
7,19,50.0,300.0,3.052,3.0446,0.007400000000000073
7,20,100.0,300.0,3.052,3.0299,0.02210000000000001
7,21,150.0,300.0,3.052,3.0299,0.02210000000000001
7,22,200.0,300.0,3.052,2.7255000000000003,0.3264999999999998
7,23,250.0,300.0,3.0666,2.87585,0.19075000000000042
7,24,300.0,300.0,3.0666,2.8392,0.22740000000000027
7,25,350.0,300.0,3.0593,2.9346,0.12469999999999981
7,26,400.0,300.0,3.0299,2.9713,0.05860000000000021
7,27,450.0,300.0,3.0446,3.0153,0.029300000000000104
7,28,500.0,300.0,3.1253,2.8245,0.3008000000000002
7,29,550.0,300.0,3.1253,3.0593,0.06600000000000028
7,30,600.0,300.0,3.0079,3.0226,-0.01470000000000038
7,31,650.0,300.0,2.9639,2.8099,0.15400000000000036
8,18,0.0,350.0,3.14,3.10695,0.033050000000000246
8,19,50.0,350.0,3.14,3.096,0.04400000000000004
8,20,100.0,350.0,3.1327,3.096,0.03669999999999973
8,21,150.0,350.0,3.1106,3.0703,0.04029999999999978
8,22,200.0,350.0,3.096,2.7071,0.3889
8,23,250.0,350.0,3.1327,2.7658,0.3668999999999998
8,24,300.0,350.0,3.1143,2.8099,0.3044000000000002
8,25,350.0,350.0,2.9566,2.8685,0.08809999999999985
8,26,400.0,350.0,2.9199,2.95655,-0.03664999999999985
8,27,450.0,350.0,2.8612,3.0006,-0.13939999999999975
8,28,500.0,350.0,2.8685,2.8319,0.036599999999999966
