block,line,orientation,fixed_axis,fixed_cm,run_axis,run_from_cm,run_to_measured_cm,nominal_len_cm,len_error_cm,n_traces,trace_spacing_cm,ns_HF,ns_LF,window_HF_ns,window_LF_ns,antenna_offset_HF_cm,antenna_offset_LF_cm,sgy_HF,sgy_LF
A,1,X-line,y,0,x,0,542.5,550,-7.5,218,2.5,655,664,40,81,7.0,24.4,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new001_20260820_171438\20.8.26 A Block new001_20260820_171438_20260821_113207_HF.sgy,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new001_20260820_171438\20.8.26 A Block new001_20260820_171438_20260821_113207_LF.sgy
A,2,X-line,y,50,x,0,547.5,550,-2.5,220,2.5,655,664,40,81,7.0,24.4,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new002_20260820_171539\20.8.26 A Block new002_20260820_171539_20260821_113207_HF.sgy,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new002_20260820_171539\20.8.26 A Block new002_20260820_171539_20260821_113207_LF.sgy
A,3,X-line,y,100,x,0,520.0,550,-30.0,209,2.5,655,664,40,81,7.0,24.4,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new003_20260820_171631\20.8.26 A Block new003_20260820_171631_20260821_113207_HF.sgy,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new003_20260820_171631\20.8.26 A Block new003_20260820_171631_20260821_113207_LF.sgy
A,4,X-line,y,150,x,0,535.0,550,-15.0,215,2.5,655,664,40,81,7.0,24.4,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new004_20260820_171727\20.8.26 A Block new004_20260820_171727_20260821_113207_HF.sgy,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new004_20260820_171727\20.8.26 A Block new004_20260820_171727_20260821_113207_LF.sgy
A,5,X-line,y,200,x,0,550.0,550,0.0,221,2.5,655,664,40,81,7.0,24.4,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new005_20260820_171756\20.8.26 A Block new005_20260820_171756_20260821_113207_HF.sgy,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new005_20260820_171756\20.8.26 A Block new005_20260820_171756_20260821_113207_LF.sgy
A,6,X-line,y,250,x,0,542.5,550,-7.5,218,2.5,655,664,40,81,7.0,24.4,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new006_20260820_171821\20.8.26 A Block new006_20260820_171821_20260821_113207_HF.sgy,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new006_20260820_171821\20.8.26 A Block new006_20260820_171821_20260821_113207_LF.sgy
A,7,X-line,y,300,x,0,550.0,550,0.0,221,2.5,655,664,40,81,7.0,24.4,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new007_20260820_171844\20.8.26 A Block new007_20260820_171844_20260821_113207_HF.sgy,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new007_20260820_171844\20.8.26 A Block new007_20260820_171844_20260821_113207_LF.sgy
A,8,X-line,y,350,x,0,550.0,550,0.0,221,2.5,655,664,40,81,7.0,24.4,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new008_20260820_171909\20.8.26 A Block new008_20260820_171909_20260821_113207_HF.sgy,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new008_20260820_171909\20.8.26 A Block new008_20260820_171909_20260821_113207_LF.sgy
A,9,X-line,y,400,x,0,547.5,550,-2.5,220,2.5,655,664,40,81,7.0,24.4,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new009_20260820_171936\20.8.26 A Block new009_20260820_171936_20260821_113207_HF.sgy,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new009_20260820_171936\20.8.26 A Block new009_20260820_171936_20260821_113207_LF.sgy
A,10,X-line,y,450,x,0,547.5,550,-2.5,220,2.5,655,664,40,81,7.0,24.4,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new010_20260820_172014\20.8.26 A Block new010_20260820_172014_20260821_113207_HF.sgy,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new010_20260820_172014\20.8.26 A Block new010_20260820_172014_20260821_113207_LF.sgy
