block,feature,line,orientation,channel,x_cm,y_cm,twt_ns,depth_m,envelope,src
A,A-2,13,Y-line,HF,0.0,82.2,11.0474,0.6639,0.959,seed
A,A-2,13,Y-line,HF,0.0,84.7,11.3525,0.6823,1.515,seed
A,A-2,13,Y-line,HF,0.0,87.2,11.3525,0.6823,1.644,seed
A,A-2,13,Y-line,HF,0.0,89.6,11.6577,0.7006,1.668,seed
A,A-2,13,Y-line,HF,0.0,92.1,11.9629,0.719,1.948,seed
A,A-2,13,Y-line,HF,0.0,94.6,12.2681,0.7373,0.834,seed
A,A-2,13,Y-line,HF,0.0,97.1,12.5733,0.7557,1.107,seed
A,A-2,13,Y-line,HF,0.0,99.6,12.8174,0.7703,0.787,seed
A,A-2,13,Y-line,HF,0.0,102.1,13.1226,0.7887,1.225,seed
A,A-2,13,Y-line,HF,0.0,104.6,13.4277,0.807,1.07,seed
A,A-2,13,Y-line,HF,0.0,107.1,13.7329,0.8253,0.78,seed
A,A-2,13,Y-line,HF,0.0,109.6,13.9771,0.84,0.372,seed
A,A-2,13,Y-line,HF,0.0,112.1,13.9771,0.84,0.731,seed
A,A-2,13,Y-line,HF,0.0,114.5,14.2822,0.8584,0.855,seed
A,A-2,13,Y-line,HF,0.0,117.0,14.5874,0.8767,0.638,seed
A,A-2,13,Y-line,HF,0.0,119.5,14.8316,0.8914,0.851,seed
A,A-2,13,Y-line,HF,0.0,122.0,14.8316,0.8914,1.118,seed
A,A-2,13,Y-line,HF,0.0,124.5,15.1367,0.9097,0.872,seed
A,A-2,13,Y-line,HF,0.0,127.0,15.4419,0.9281,1.03,seed
A,A-2,13,Y-line,HF,0.0,129.5,15.7471,0.9464,1.078,seed
A,A-2,13,Y-line,HF,0.0,132.0,15.9912,0.9611,0.718,seed
A,A-2,13,Y-line,HF,0.0,134.5,16.2964,0.9794,0.969,seed
A,A-2,13,Y-line,HF,0.0,137.0,16.6016,0.9978,0.733,seed
A,A-2,13,Y-line,HF,0.0,139.4,16.9068,1.0161,0.752,seed
A,A-2,13,Y-line,HF,0.0,141.9,17.1509,1.0308,1.238,seed
A,A-2,13,Y-line,HF,0.0,144.4,17.4561,1.0491,1.018,seed
A,A-2,13,Y-line,HF,0.0,146.9,17.7612,1.0675,0.864,seed
A,A-2,13,Y-line,HF,0.0,149.4,18.0664,1.0858,1.315,seed
