block,feature,line,orientation,x_cm,y_cm,twt_ns,depth_m
C,C-1,20,Y-line,100.0,77.2,9.0942,0.5466
C,C-1,20,Y-line,100.0,79.7,9.1553,0.5502
C,C-1,20,Y-line,100.0,82.2,9.2163,0.5539
C,C-1,20,Y-line,100.0,84.7,9.2774,0.5576
C,C-1,20,Y-line,100.0,87.2,9.3384,0.5612
C,C-1,20,Y-line,100.0,89.6,9.3994,0.5649
C,C-1,20,Y-line,100.0,92.1,9.3994,0.5649
C,C-1,20,Y-line,100.0,94.6,9.3994,0.5649
C,C-1,20,Y-line,100.0,97.1,9.3994,0.5649
C,C-1,20,Y-line,100.0,99.6,9.4605,0.5686
C,C-1,20,Y-line,100.0,102.1,9.5215,0.5722
C,C-1,20,Y-line,100.0,104.6,9.5825,0.5759
C,C-1,20,Y-line,100.0,107.1,9.6436,0.5796
C,C-1,20,Y-line,100.0,109.6,9.7046,0.5832
C,C-1,20,Y-line,100.0,112.0,9.7656,0.5869
C,C-1,20,Y-line,100.0,114.5,9.7656,0.5869
C,C-1,20,Y-line,100.0,117.0,9.8267,0.5906
C,C-1,20,Y-line,100.0,119.5,9.8877,0.5943
C,C-1,20,Y-line,100.0,122.0,9.9487,0.5979
C,C-1,20,Y-line,100.0,124.5,9.9487,0.5979
C,C-1,20,Y-line,100.0,127.0,9.8877,0.5943
C,C-1,20,Y-line,100.0,129.5,9.8877,0.5943
C,C-1,20,Y-line,100.0,132.0,9.9487,0.5979
C,C-1,20,Y-line,100.0,134.5,10.0098,0.6016
C,C-1,20,Y-line,100.0,137.0,10.0098,0.6016
C,C-1,20,Y-line,100.0,139.4,10.0098,0.6016
C,C-1,20,Y-line,100.0,141.9,10.0098,0.6016
C,C-1,20,Y-line,100.0,144.4,10.0098,0.6016
C,C-1,20,Y-line,100.0,146.9,10.0098,0.6016
C,C-1,20,Y-line,100.0,149.4,10.0098,0.6016
C,C-1,20,Y-line,100.0,151.9,10.0098,0.6016
C,C-1,20,Y-line,100.0,154.4,10.0098,0.6016
C,C-1,20,Y-line,100.0,156.9,9.8877,0.5943
C,C-1,20,Y-line,100.0,159.4,9.8877,0.5943
C,C-1,20,Y-line,100.0,161.9,9.8877,0.5943
C,C-1,20,Y-line,100.0,164.3,9.8877,0.5943
C,C-1,20,Y-line,100.0,166.8,9.8877,0.5943
C,C-1,20,Y-line,100.0,169.3,9.9487,0.5979
C,C-1,20,Y-line,100.0,171.8,9.9487,0.5979
C,C-1,20,Y-line,100.0,174.3,9.9487,0.5979
C,C-1,20,Y-line,100.0,176.8,9.9487,0.5979
C,C-1,20,Y-line,100.0,179.3,9.9487,0.5979
C,C-1,20,Y-line,100.0,181.8,9.9487,0.5979
C,C-1,20,Y-line,100.0,184.3,9.9487,0.5979
C,C-1,20,Y-line,100.0,186.8,10.0098,0.6016
C,C-1,20,Y-line,100.0,189.2,10.0708,0.6053
C,C-1,20,Y-line,100.0,191.7,10.1318,0.6089
C,C-1,20,Y-line,100.0,194.2,10.1929,0.6126
C,C-1,20,Y-line,100.0,196.7,10.2539,0.6163
C,C-1,20,Y-line,100.0,199.2,10.3149,0.6199
C,C-1,20,Y-line,100.0,201.7,10.376,0.6236
C,C-1,20,Y-line,100.0,204.2,10.437,0.6273
C,C-1,20,Y-line,100.0,206.7,10.4981,0.6309
C,C-1,20,Y-line,100.0,209.2,10.5591,0.6346
C,C-1,20,Y-line,100.0,211.6,10.6201,0.6383
C,C-1,20,Y-line,100.0,214.1,10.6812,0.6419
C,C-1,20,Y-line,100.0,216.6,10.7422,0.6456
C,C-1,20,Y-line,100.0,219.1,10.8032,0.6493
C,C-1,20,Y-line,100.0,221.6,10.8643,0.6529
C,C-1,20,Y-line,100.0,224.1,10.9253,0.6566
C,C-1,20,Y-line,100.0,226.6,10.9863,0.6603
C,C-1,20,Y-line,100.0,229.1,11.0474,0.6639
C,C-1,20,Y-line,100.0,231.6,11.1084,0.6676
C,C-1,20,Y-line,100.0,234.1,11.1694,0.6713
C,C-1,20,Y-line,100.0,236.6,11.1694,0.6713
C,C-1,21,Y-line,150.0,49.8,4.0283,0.2421
C,C-1,21,Y-line,150.0,52.3,4.1504,0.2494
C,C-1,21,Y-line,150.0,54.8,4.2114,0.2531
C,C-1,21,Y-line,150.0,57.3,4.3335,0.2604
C,C-1,21,Y-line,150.0,59.8,4.3335,0.2604
C,C-1,21,Y-line,150.0,62.3,4.4556,0.2678
C,C-1,21,Y-line,150.0,64.7,4.4556,0.2678
C,C-1,21,Y-line,150.0,67.2,4.5776,0.2751
C,C-1,21,Y-line,150.0,69.7,4.6387,0.2788
C,C-1,21,Y-line,150.0,72.2,4.7607,0.2861
C,C-1,21,Y-line,150.0,74.7,4.8218,0.2898
C,C-1,21,Y-line,150.0,77.2,4.9439,0.2971
C,C-1,21,Y-line,150.0,79.7,5.0049,0.3008
C,C-1,21,Y-line,150.0,82.2,5.127,0.3081
C,C-1,21,Y-line,150.0,84.7,5.188,0.3118
C,C-1,21,Y-line,150.0,87.2,5.188,0.3118
C,C-1,21,Y-line,150.0,89.6,5.188,0.3118
C,C-1,21,Y-line,150.0,92.1,5.188,0.3118
C,C-1,21,Y-line,150.0,94.6,5.188,0.3118
C,C-1,21,Y-line,150.0,97.1,5.188,0.3118
C,C-1,21,Y-line,150.0,99.6,5.188,0.3118
C,C-1,21,Y-line,150.0,102.1,5.188,0.3118
C,C-1,21,Y-line,150.0,104.6,5.188,0.3118
C,C-1,21,Y-line,150.0,107.1,5.188,0.3118
C,C-1,21,Y-line,150.0,109.6,5.127,0.3081
C,C-1,21,Y-line,150.0,112.0,5.127,0.3081
C,C-1,21,Y-line,150.0,114.5,5.127,0.3081
C,C-1,21,Y-line,150.0,117.0,5.0659,0.3045
C,C-1,21,Y-line,150.0,119.5,5.0659,0.3045
C,C-1,21,Y-line,150.0,122.0,5.0659,0.3045
C,C-1,21,Y-line,150.0,124.5,5.0659,0.3045
C,C-1,21,Y-line,150.0,127.0,5.0659,0.3045
C,C-1,21,Y-line,150.0,129.5,5.188,0.3118
