block,line,window,lag_ns,r
A,20.8.26 A Block new001_20260820_17,surface 0-3ns,0.2356,0.7455
A,20.8.26 A Block new001_20260820_17,shallow 4-10ns,-3.0203,0.3365
A,20.8.26 A Block new001_20260820_17,mid 8-16ns,-0.1155,0.4652
A,20.8.26 A Block new002_20260820_17,surface 0-3ns,0.2632,0.6494
A,20.8.26 A Block new002_20260820_17,shallow 4-10ns,-3.093,0.3821
A,20.8.26 A Block new002_20260820_17,mid 8-16ns,1.1045,0.3712
A,20.8.26 A Block new003_20260820_17,surface 0-3ns,0.2832,0.5671
A,20.8.26 A Block new003_20260820_17,shallow 4-10ns,3.5801,0.4645
A,20.8.26 A Block new003_20260820_17,mid 8-16ns,-3.104,0.13
A,20.8.26 A Block new004_20260820_17,surface 0-3ns,0.2549,0.7383
A,20.8.26 A Block new004_20260820_17,shallow 4-10ns,4.8539,0.2754
A,20.8.26 A Block new004_20260820_17,mid 8-16ns,-0.9242,0.516
A,20.8.26 A Block new005_20260820_17,surface 0-3ns,0.235,0.745
A,20.8.26 A Block new005_20260820_17,shallow 4-10ns,4.0369,0.2864
A,20.8.26 A Block new005_20260820_17,mid 8-16ns,-0.6285,0.4254
A,20.8.26 A Block new006_20260820_17,surface 0-3ns,0.2469,0.74
A,20.8.26 A Block new006_20260820_17,shallow 4-10ns,-3.3123,0.3042
A,20.8.26 A Block new006_20260820_17,mid 8-16ns,-1.391,0.2996
A,20.8.26 A Block new007_20260820_17,surface 0-3ns,0.2495,0.7422
A,20.8.26 A Block new007_20260820_17,shallow 4-10ns,4.5663,0.3481
A,20.8.26 A Block new007_20260820_17,mid 8-16ns,-0.0627,0.3591
A,20.8.26 A Block new008_20260820_17,surface 0-3ns,0.2471,0.7439
A,20.8.26 A Block new008_20260820_17,shallow 4-10ns,4.5288,0.3068
A,20.8.26 A Block new008_20260820_17,mid 8-16ns,-1.9043,0.4073
A,20.8.26 A Block new009_20260820_17,surface 0-3ns,0.2589,0.7349
A,20.8.26 A Block new009_20260820_17,shallow 4-10ns,4.5595,0.2884
A,20.8.26 A Block new009_20260820_17,mid 8-16ns,-0.2737,0.3011
A,20.8.26 A Block new010_20260820_17,surface 0-3ns,0.2543,0.7456
A,20.8.26 A Block new010_20260820_17,shallow 4-10ns,4.1853,0.3163
A,20.8.26 A Block new010_20260820_17,mid 8-16ns,-0.1825,0.3317
A,20.8.26 A Block new011_20260820_17,surface 0-3ns,0.2571,0.7379
A,20.8.26 A Block new011_20260820_17,shallow 4-10ns,4.5265,0.3585
A,20.8.26 A Block new011_20260820_17,mid 8-16ns,-0.0772,0.3002
A,20.8.26 A Block new012_20260820_17,surface 0-3ns,0.2591,0.7322
A,20.8.26 A Block new012_20260820_17,shallow 4-10ns,4.2029,0.4085
A,20.8.26 A Block new012_20260820_17,mid 8-16ns,1.642,0.2195
A,20.8.26 A Block new013_20260820_17,surface 0-3ns,0.239,0.7255
A,20.8.26 A Block new013_20260820_17,shallow 4-10ns,4.4581,0.314
A,20.8.26 A Block new013_20260820_17,mid 8-16ns,1.0908,0.2027
A,20.8.26 A Block new014_20260820_17,surface 0-3ns,0.2372,0.734
A,20.8.26 A Block new014_20260820_17,shallow 4-10ns,-2.1004,0.3288
A,20.8.26 A Block new014_20260820_17,mid 8-16ns,-2.4863,0.2347
A,20.8.26 A Block new015_20260820_17,surface 0-3ns,0.2283,0.7331
A,20.8.26 A Block new015_20260820_17,shallow 4-10ns,-3.3179,0.3717
A,20.8.26 A Block new015_20260820_17,mid 8-16ns,0.9848,0.2619
A,20.8.26 A Block new016_20260820_17,surface 0-3ns,0.2346,0.7291
A,20.8.26 A Block new016_20260820_17,shallow 4-10ns,4.0066,0.321
A,20.8.26 A Block new016_20260820_17,mid 8-16ns,1.1038,0.2036
A,20.8.26 A Block new017_20260820_17,surface 0-3ns,0.2331,0.7207
A,20.8.26 A Block new017_20260820_17,shallow 4-10ns,4.6467,0.3001
A,20.8.26 A Block new017_20260820_17,mid 8-16ns,1.7156,0.2378
A,20.8.26 A Block new018_20260820_17,surface 0-3ns,0.2591,0.7047
A,20.8.26 A Block new018_20260820_17,shallow 4-10ns,4.154,0.3425
A,20.8.26 A Block new018_20260820_17,mid 8-16ns,0.9829,0.3477
A,20.8.26 A Block new019_20260820_17,surface 0-3ns,0.255,0.7228
A,20.8.26 A Block new019_20260820_17,shallow 4-10ns,-2.0965,0.2932
A,20.8.26 A Block new019_20260820_17,mid 8-16ns,-0.2555,0.3269
A,20.8.26 A Block new020_20260820_17,surface 0-3ns,0.2508,0.7277
A,20.8.26 A Block new020_20260820_17,shallow 4-10ns,4.2327,0.3221
