block,ch,line,ntr,ns,pk_smp,pk_ns,fb_smp,fb_ns,zc_ns,pk_amp,t_air_ns
A,HF,20.8.26 A Block new001_20260820_171438,218,655,17,1.0376,0,0.0,0.8503,0.96,0.2335
A,HF,20.8.26 A Block new002_20260820_171539,220,655,9,0.5493,0,0.0,0.3715,-0.8,0.2335
A,HF,20.8.26 A Block new003_20260820_171631,209,655,8,0.4883,0,0.0,0.3716,-0.87,0.2335
A,HF,20.8.26 A Block new004_20260820_171727,215,655,17,1.0376,0,0.0,0.8325,0.95,0.2335
A,HF,20.8.26 A Block new005_20260820_171756,221,655,17,1.0376,0,0.0,0.841,0.94,0.2335
A,HF,20.8.26 A Block new006_20260820_171821,218,655,17,1.0376,0,0.0,0.8446,0.92,0.2335
A,HF,20.8.26 A Block new007_20260820_171844,221,655,17,1.0376,0,0.0,0.839,0.93,0.2335
A,HF,20.8.26 A Block new008_20260820_171909,221,655,17,1.0376,0,0.0,0.8386,0.93,0.2335
A,HF,20.8.26 A Block new009_20260820_171936,220,655,17,1.0376,0,0.0,0.8356,0.93,0.2335
A,HF,20.8.26 A Block new010_20260820_172014,220,655,17,1.0376,0,0.0,0.8426,0.92,0.2335
A,HF,20.8.26 A Block new011_20260820_172050,224,655,17,1.0376,0,0.0,0.8388,0.91,0.2335
A,HF,20.8.26 A Block new012_20260820_172115,220,655,17,1.0376,0,0.0,0.8318,0.91,0.2335
A,HF,20.8.26 A Block new013_20260820_172200,221,655,9,0.5493,0,0.0,0.3726,-0.97,0.2335
A,HF,20.8.26 A Block new014_20260820_172243,215,655,9,0.5493,0,0.0,0.3724,-0.93,0.2335
A,HF,20.8.26 A Block new015_20260820_172313,219,655,9,0.5493,0,0.0,0.3725,-0.94,0.2335
A,HF,20.8.26 A Block new016_20260820_172355,220,655,9,0.5493,0,0.0,0.3715,-1.04,0.2335
A,HF,20.8.26 A Block new017_20260820_172444,221,655,17,1.0376,0,0.0,0.829,0.92,0.2335
A,HF,20.8.26 A Block new018_20260820_172527,219,655,9,0.5493,0,0.0,0.3719,-0.9,0.2335
A,HF,20.8.26 A Block new019_20260820_172601,220,655,9,0.5493,0,0.0,0.3732,-0.95,0.2335
A,HF,20.8.26 A Block new020_20260820_172646,211,655,17,1.0376,0,0.0,0.8291,0.92,0.2335
A,HF,20.8.26 A Block new021_20260820_172720,213,655,17,1.0376,0,0.0,0.8374,0.92,0.2335
A,HF,20.8.26 A Block new022_20260820_172754,222,655,17,1.0376,0,0.0,0.8485,0.9,0.2335
A,HF,20.8.26 A Block new023_20260820_172828,218,655,17,1.0376,0,0.0,0.8506,0.94,0.2335
A,HF,20.8.26 A Block new024_20260820_172858,216,655,17,1.0376,0,0.0,0.8611,0.93,0.2335
A,LF,20.8.26 A Block new001_20260820_171438,218,664,37,4.5166,19,2.3193,3.8797,0.32,0.8139
A,LF,20.8.26 A Block new002_20260820_171539,220,664,37,4.5166,8,0.9766,3.8949,0.27,0.8139
A,LF,20.8.26 A Block new003_20260820_171631,209,664,40,4.8828,8,0.9766,4.0398,0.2,0.8139
A,LF,20.8.26 A Block new004_20260820_171727,215,664,37,4.5166,8,0.9766,3.8807,0.28,0.8139
A,LF,20.8.26 A Block new005_20260820_171756,221,664,37,4.5166,8,0.9766,3.8928,0.28,0.8139
A,LF,20.8.26 A Block new006_20260820_171821,218,664,38,4.6387,19,2.3193,3.9144,0.27,0.8139
A,LF,20.8.26 A Block new007_20260820_171844,221,664,37,4.5166,8,0.9766,3.9061,0.28,0.8139
A,LF,20.8.26 A Block new008_20260820_171909,221,664,37,4.5166,19,2.3193,3.9075,0.28,0.8139
A,LF,20.8.26 A Block new009_20260820_171936,220,664,37,4.5166,19,2.3193,3.908,0.28,0.8139
A,LF,20.8.26 A Block new010_20260820_172014,220,664,37,4.5166,8,0.9766,3.9153,0.28,0.8139
A,LF,20.8.26 A Block new011_20260820_172050,224,664,37,4.5166,19,2.3193,3.9155,0.28,0.8139
A,LF,20.8.26 A Block new012_20260820_172115,220,664,37,4.5166,19,2.3193,3.9092,0.27,0.8139
A,LF,20.8.26 A Block new013_20260820_172200,221,664,37,4.5166,19,2.3193,3.8701,0.27,0.8139
A,LF,20.8.26 A Block new014_20260820_172243,215,664,37,4.5166,19,2.3193,3.874,0.28,0.8139
A,LF,20.8.26 A Block new015_20260820_172313,219,664,37,4.5166,19,2.3193,3.8737,0.27,0.8139
A,LF,20.8.26 A Block new016_20260820_172355,220,664,37,4.5166,19,2.3193,3.8492,0.26,0.8139
A,LF,20.8.26 A Block new017_20260820_172444,221,664,37,4.5166,19,2.3193,3.8874,0.28,0.8139
A,LF,20.8.26 A Block new018_20260820_172527,219,664,38,4.6387,19,2.3193,3.9081,0.26,0.8139
A,LF,20.8.26 A Block new019_20260820_172601,220,664,37,4.5166,19,2.3193,3.8784,0.27,0.8139
A,LF,20.8.26 A Block new020_20260820_172646,211,664,37,4.5166,19,2.3193,3.8873,0.28,0.8139
A,LF,20.8.26 A Block new021_20260820_172720,213,664,37,4.5166,8,0.9766,3.8968,0.28,0.8139
A,LF,20.8.26 A Block new022_20260820_172754,222,664,37,4.5166,8,0.9766,3.9092,0.27,0.8139
A,LF,20.8.26 A Block new023_20260820_172828,218,664,37,4.5166,8,0.9766,3.8915,0.27,0.8139
A,LF,20.8.26 A Block new024_20260820_172858,216,664,38,4.6387,19,2.3193,3.9319,0.3,0.8139
B,HF,20.8.26 B Block proceq new001_20260820_1,387,655,17,1.0376,0,0.0,0.8488,0.91,0.2335
B,HF,20.8.26 B Block proceq new002_20260820_1,384,655,17,1.0376,0,0.0,0.848,0.91,0.2335
B,HF,20.8.26 B Block proceq new003_20260820_1,385,655,17,1.0376,0,0.0,0.8474,0.9,0.2335
B,HF,20.8.26 B Block proceq new004_20260820_1,384,655,17,1.0376,0,0.0,0.8433,0.91,0.2335
B,HF,20.8.26 B Block proceq new005_20260820_1,384,655,17,1.0376,0,0.0,0.847,0.87,0.2335
B,HF,20.8.26 B Block proceq new006_20260820_1,385,655,17,1.0376,0,0.0,0.8361,0.9,0.2335
B,HF,20.8.26 B Block proceq new007_20260820_1,388,655,9,0.5493,0,0.0,0.3712,-0.94,0.2335
B,HF,20.8.26 B Block proceq new008_20260820_1,386,655,9,0.5493,0,0.0,0.3686,-0.91,0.2335
B,HF,20.8.26 B Block proceq new009_20260820_1,385,655,9,0.5493,0,0.0,0.368,-0.99,0.2335
B,HF,20.8.26 B Block proceq new010_20260820_1,382,655,9,0.5493,0,0.0,0.3683,-0.99,0.2335
B,HF,20.8.26 B Block proceq new011_20260820_1,385,655,9,0.5493,0,0.0,0.3686,-1.01,0.2335
B,HF,20.8.26 B Block proceq new012_20260820_1,380,655,9,0.5493,0,0.0,0.3683,-0.98,0.2335
B,HF,20.8.26 B Block proceq new013_20260820_1,381,655,9,0.5493,0,0.0,0.3697,-1.15,0.2335
B,HF,20.8.26 B Block proceq new014_20260820_1,247,655,17,1.0376,0,0.0,0.8354,0.91,0.2335
B,HF,20.8.26 B Block proceq new015_20260820_1,242,655,17,1.0376,0,0.0,0.845,0.93,0.2335
B,HF,20.8.26 B Block proceq new016_20260820_1,245,655,17,1.0376,0,0.0,0.8438,0.91,0.2335
B,HF,20.8.26 B Block proceq new017_20260820_1,244,655,17,1.0376,0,0.0,0.8487,0.92,0.2335
B,HF,20.8.26 B Block proceq new018_20260820_1,242,655,17,1.0376,0,0.0,0.846,0.94,0.2335
B,HF,20.8.26 B Block proceq new019_20260820_1,242,655,17,1.0376,0,0.0,0.8496,0.92,0.2335
B,HF,20.8.26 B Block proceq new020_20260820_1,243,655,17,1.0376,0,0.0,0.851,0.92,0.2335
B,HF,20.8.26 B Block proceq new021_20260820_1,241,655,17,1.0376,0,0.0,0.8492,0.92,0.2335
B,HF,20.8.26 B Block proceq new022_20260820_1,244,655,17,1.0376,0,0.0,0.8454,0.92,0.2335
B,HF,20.8.26 B Block proceq new023_20260820_1,242,655,17,1.0376,0,0.0,0.8275,0.94,0.2335
B,HF,20.8.26 B Block proceq new024_20260820_1,253,655,17,1.0376,0,0.0,0.8195,0.95,0.2335
B,HF,20.8.26 B Block proceq new025_20260820_1,242,655,17,1.0376,0,0.0,0.8176,0.95,0.2335
B,HF,20.8.26 B Block proceq new026_20260820_1,242,655,17,1.0376,0,0.0,0.8198,0.93,0.2335
B,HF,20.8.26 B Block proceq new027_20260820_1,244,655,8,0.4883,0,0.0,0.3738,-1.32,0.2335
B,HF,20.8.26 B Block proceq new028_20260820_1,244,655,9,0.5493,0,0.0,0.368,-0.99,0.2335
B,HF,20.8.26 B Block proceq new029_20260820_1,241,655,9,0.5493,0,0.0,0.3691,-0.99,0.2335
B,HF,20.8.26 B Block proceq new030_20260820_1,244,655,8,0.4883,0,0.0,0.3682,-1.04,0.2335
B,HF,20.8.26 B Block proceq new031_20260820_1,242,655,9,0.5493,0,0.0,0.3716,-1.01,0.2335
B,HF,20.8.26 B Block proceq new032_20260820_1,242,655,9,0.5493,0,0.0,0.3704,-1.14,0.2335
B,HF,20.8.26 B Block proceq new033_20260820_1,243,655,9,0.5493,0,0.0,0.3688,-1.01,0.2335
B,LF,20.8.26 B Block proceq new001_20260820_1,387,664,38,4.6387,19,2.3193,3.9269,0.28,0.8139
B,LF,20.8.26 B Block proceq new002_20260820_1,384,664,38,4.6387,19,2.3193,3.9317,0.28,0.8139
B,LF,20.8.26 B Block proceq new003_20260820_1,385,664,38,4.6387,19,2.3193,3.9369,0.28,0.8139
B,LF,20.8.26 B Block proceq new004_20260820_1,384,664,38,4.6387,19,2.3193,3.9281,0.27,0.8139
B,LF,20.8.26 B Block proceq new005_20260820_1,384,664,37,4.5166,8,0.9766,3.9214,0.26,0.8139
B,LF,20.8.26 B Block proceq new006_20260820_1,385,664,37,4.5166,8,0.9766,3.8975,0.27,0.8139
B,LF,20.8.26 B Block proceq new007_20260820_1,388,664,37,4.5166,22,2.6855,3.8793,0.26,0.8139
B,LF,20.8.26 B Block proceq new008_20260820_1,386,664,37,4.5166,8,0.9766,3.8967,0.24,0.8139
B,LF,20.8.26 B Block proceq new009_20260820_1,385,664,37,4.5166,8,0.9766,3.8702,0.23,0.8139
B,LF,20.8.26 B Block proceq new010_20260820_1,382,664,37,4.5166,8,0.9766,3.8414,0.24,0.8139
B,LF,20.8.26 B Block proceq new011_20260820_1,385,664,37,4.5166,8,0.9766,3.8322,0.24,0.8139
B,LF,20.8.26 B Block proceq new012_20260820_1,380,664,37,4.5166,19,2.3193,3.8505,0.25,0.8139
B,LF,20.8.26 B Block proceq new013_20260820_1,381,664,37,4.5166,21,2.5635,3.8084,0.24,0.8139
B,LF,20.8.26 B Block proceq new014_20260820_1,247,664,37,4.5166,8,0.9766,3.8938,0.28,0.8139
B,LF,20.8.26 B Block proceq new015_20260820_1,242,664,37,4.5166,8,0.9766,3.9011,0.29,0.8139
B,LF,20.8.26 B Block proceq new016_20260820_1,245,664,37,4.5166,19,2.3193,3.912,0.29,0.8139
B,LF,20.8.26 B Block proceq new017_20260820_1,244,664,37,4.5166,19,2.3193,3.9126,0.3,0.8139
B,LF,20.8.26 B Block proceq new018_20260820_1,242,664,37,4.5166,19,2.3193,3.9002,0.3,0.8139
B,LF,20.8.26 B Block proceq new019_20260820_1,242,664,38,4.6387,19,2.3193,3.9208,0.3,0.8139
B,LF,20.8.26 B Block proceq new020_20260820_1,243,664,37,4.5166,19,2.3193,3.9179,0.3,0.8139
B,LF,20.8.26 B Block proceq new021_20260820_1,241,664,37,4.5166,19,2.3193,3.9179,0.29,0.8139
B,LF,20.8.26 B Block proceq new022_20260820_1,244,664,37,4.5166,8,0.9766,3.9074,0.28,0.8139
B,LF,20.8.26 B Block proceq new023_20260820_1,242,664,37,4.5166,19,2.3193,3.8837,0.27,0.8139
B,LF,20.8.26 B Block proceq new024_20260820_1,253,664,37,4.5166,8,0.9766,3.8444,0.27,0.8139
B,LF,20.8.26 B Block proceq new025_20260820_1,242,664,37,4.5166,8,0.9766,3.8353,0.28,0.8139
B,LF,20.8.26 B Block proceq new026_20260820_1,242,664,37,4.5166,7,0.8545,3.8247,0.26,0.8139
B,LF,20.8.26 B Block proceq new027_20260820_1,244,664,37,4.5166,21,2.5635,3.8199,0.24,0.8139
B,LF,20.8.26 B Block proceq new028_20260820_1,244,664,37,4.5166,7,0.8545,3.8558,0.23,0.8139
B,LF,20.8.26 B Block proceq new029_20260820_1,241,664,36,4.3945,7,0.8545,3.8208,0.24,0.8139
B,LF,20.8.26 B Block proceq new030_20260820_1,244,664,37,4.5166,8,0.9766,3.8669,0.22,0.8139
B,LF,20.8.26 B Block proceq new031_20260820_1,242,664,37,4.5166,8,0.9766,3.8227,0.25,0.8139
B,LF,20.8.26 B Block proceq new032_20260820_1,242,664,37,4.5166,7,0.8545,3.7989,0.22,0.8139
B,LF,20.8.26 B Block proceq new033_20260820_1,243,664,37,4.5166,8,0.9766,3.8491,0.22,0.8139
C,HF,20.8.26 C Block new001_20260820_184938,280,655,17,1.0376,0,0.0,0.8227,0.89,0.2335
C,HF,20.8.26 C Block new002_20260820_185029,284,655,17,1.0376,0,0.0,0.8316,0.88,0.2335
C,HF,20.8.26 C Block new003_20260820_185105,280,655,17,1.0376,0,0.0,0.8374,0.87,0.2335
C,HF,20.8.26 C Block new004_20260820_185141,283,655,17,1.0376,0,0.0,0.8354,0.88,0.2335
C,HF,20.8.26 C Block new005_20260820_185215,280,655,17,1.0376,0,0.0,0.8373,0.88,0.2335
C,HF,20.8.26 C Block new006_20260820_185244,278,655,17,1.0376,0,0.0,0.838,0.89,0.2335
C,HF,20.8.26 C Block new007_20260820_185316,279,655,9,0.5493,0,0.0,0.3727,-0.92,0.2335
C,HF,20.8.26 C Block new008_20260820_185350,272,655,17,1.0376,0,0.0,0.822,0.95,0.2335
C,HF,20.8.26 C Block new009_20260820_185437,273,655,17,1.0376,0,0.0,0.8199,0.95,0.2335
C,HF,20.8.26 C Block new010_20260820_185516,275,655,8,0.4883,0,0.0,0.3693,-1.28,0.2335
C,HF,20.8.26 C Block new011_20260820_185552,265,655,9,0.5493,0,0.0,0.3752,-1.04,0.2335
C,HF,20.8.26 C Block new012_20260820_185636,269,655,9,0.5493,0,0.0,0.3776,-1.08,0.2335
C,HF,20.8.26 C Block new013_20260820_185720,273,655,9,0.5493,0,0.0,0.3745,-0.98,0.2335
C,HF,20.8.26 C Block new014_20260820_185757,270,655,17,1.0376,0,0.0,0.8326,0.9,0.2335
C,HF,20.8.26 C Block new015_20260820_185903,285,655,9,0.5493,0,0.0,0.3757,-0.97,0.2335
C,HF,20.8.26 C Block new016_20260820_185945,270,655,17,1.0376,0,0.0,0.8293,0.94,0.2335
C,HF,20.8.26 C Block new017_20260820_190026,286,655,9,0.5493,0,0.0,0.3738,-1.05,0.2335
C,HF,20.8.26 C Block new018_20260820_190126,317,655,9,0.5493,0,0.0,0.3775,-0.97,0.2335
C,HF,20.8.26 C Block new019_20260820_190254,310,655,9,0.5493,0,0.0,0.378,-0.98,0.2335
C,HF,20.8.26 C Block new020_20260820_190358,315,655,9,0.5493,0,0.0,0.3764,-1.04,0.2335
C,HF,20.8.26 C Block new021_20260820_190446,311,655,9,0.5493,0,0.0,0.3807,-1.31,0.2335
C,HF,20.8.26 C Block new022_20260820_190551,331,655,9,0.5493,0,0.0,0.3767,-1.04,0.2335
C,HF,20.8.26 C Block new023_20260820_190635,323,655,9,0.5493,0,0.0,0.3756,-0.98,0.2335
C,HF,20.8.26 C Block new024_20260820_190718,326,655,9,0.5493,0,0.0,0.3786,-0.95,0.2335
C,HF,20.8.26 C Block new025_20260820_190806,316,655,9,0.5493,0,0.0,0.3787,-1.03,0.2335
C,HF,20.8.26 C Block new026_20260820_190851,314,655,17,1.0376,0,0.0,0.8382,0.94,0.2335
C,HF,20.8.26 C Block new027_20260820_190934,318,655,17,1.0376,0,0.0,0.8401,0.94,0.2335
C,HF,20.8.26 C Block new028_20260820_191017,317,655,17,1.0376,0,0.0,0.8371,0.92,0.2335
C,HF,20.8.26 C Block new029_20260820_191116,319,655,17,1.0376,0,0.0,0.8374,0.94,0.2335
C,HF,20.8.26 C Block new030_20260820_191219,320,655,17,1.0376,0,0.0,0.8331,0.97,0.2335
C,HF,20.8.26 C Block new031_20260820_191325,321,655,17,1.0376,0,0.0,0.8348,0.96,0.2335
C,HF,20.8.26 C Block new032_20260820_191405,321,655,9,0.5493,0,0.0,0.3826,-1.07,0.2335
C,LF,20.8.26 C Block new001_20260820_184938,280,664,37,4.5166,19,2.3193,3.9065,0.26,0.8139
C,LF,20.8.26 C Block new002_20260820_185029,284,664,38,4.6387,19,2.3193,3.9286,0.27,0.8139
C,LF,20.8.26 C Block new003_20260820_185105,280,664,38,4.6387,19,2.3193,3.9339,0.26,0.8139
C,LF,20.8.26 C Block new004_20260820_185141,283,664,38,4.6387,19,2.3193,3.9254,0.27,0.8139
C,LF,20.8.26 C Block new005_20260820_185215,280,664,38,4.6387,19,2.3193,3.9271,0.27,0.8139
C,LF,20.8.26 C Block new006_20260820_185244,278,664,37,4.5166,19,2.3193,3.9224,0.28,0.8139
C,LF,20.8.26 C Block new007_20260820_185316,279,664,37,4.5166,19,2.3193,3.8967,0.29,0.8139
C,LF,20.8.26 C Block new008_20260820_185350,272,664,37,4.5166,8,0.9766,3.855,0.27,0.8139
C,LF,20.8.26 C Block new009_20260820_185437,273,664,37,4.5166,8,0.9766,3.8504,0.26,0.8139
C,LF,20.8.26 C Block new010_20260820_185516,275,664,37,4.5166,21,2.5635,3.848,0.26,0.8139
C,LF,20.8.26 C Block new011_20260820_185552,265,664,37,4.5166,22,2.6855,3.8435,0.29,0.8139
C,LF,20.8.26 C Block new012_20260820_185636,269,664,36,4.3945,8,0.9766,3.7945,0.27,0.8139
C,LF,20.8.26 C Block new013_20260820_185720,273,664,36,4.3945,8,0.9766,3.8072,0.28,0.8139
C,LF,20.8.26 C Block new014_20260820_185757,270,664,37,4.5166,8,0.9766,3.8543,0.3,0.8139
C,LF,20.8.26 C Block new015_20260820_185903,285,664,37,4.5166,22,2.6855,3.8622,0.33,0.8139
C,LF,20.8.26 C Block new016_20260820_185945,270,664,37,4.5166,19,2.3193,3.8831,0.32,0.8139
C,LF,20.8.26 C Block new017_20260820_190026,286,664,36,4.3945,7,0.8545,3.7898,0.27,0.8139
C,LF,20.8.26 C Block new018_20260820_190126,317,664,37,4.5166,19,2.3193,3.8525,0.29,0.8139
C,LF,20.8.26 C Block new019_20260820_190254,310,664,37,4.5166,19,2.3193,3.8443,0.29,0.8139
C,LF,20.8.26 C Block new020_20260820_190358,315,664,37,4.5166,8,0.9766,3.8185,0.29,0.8139
C,LF,20.8.26 C Block new021_20260820_190446,311,664,37,4.5166,21,2.5635,3.8154,0.27,0.8139
C,LF,20.8.26 C Block new022_20260820_190551,331,664,37,4.5166,8,0.9766,3.8333,0.26,0.8139
C,LF,20.8.26 C Block new023_20260820_190635,323,664,37,4.5166,8,0.9766,3.8338,0.25,0.8139
C,LF,20.8.26 C Block new024_20260820_190718,326,664,37,4.5166,19,2.3193,3.8647,0.28,0.8139
C,LF,20.8.26 C Block new025_20260820_190806,316,664,38,4.6387,22,2.6855,3.9386,0.3,0.8139
C,LF,20.8.26 C Block new026_20260820_190851,314,664,37,4.5166,8,0.9766,3.8756,0.29,0.8139
C,LF,20.8.26 C Block new027_20260820_190934,318,664,37,4.5166,8,0.9766,3.877,0.29,0.8139
C,LF,20.8.26 C Block new028_20260820_191017,317,664,37,4.5166,19,2.3193,3.8922,0.28,0.8139
C,LF,20.8.26 C Block new029_20260820_191116,319,664,37,4.5166,8,0.9766,3.894,0.28,0.8139
C,LF,20.8.26 C Block new030_20260820_191219,320,664,37,4.5166,8,0.9766,3.86,0.29,0.8139
C,LF,20.8.26 C Block new031_20260820_191325,321,664,37,4.5166,19,2.3193,3.8657,0.31,0.8139
C,LF,20.8.26 C Block new032_20260820_191405,321,664,36,4.3945,7,0.8545,3.7775,0.3,0.8139
