block,ch,line,onset_smp,onset_ns,airwave_ns,t0_ns
A,HF,20.8.26 A Block new001_20260820_171438,76,4.6387,0.2335,4.4052
A,HF,20.8.26 A Block new002_20260820_171539,77,4.6997,0.2335,4.4662
A,HF,20.8.26 A Block new003_20260820_171631,67,4.0894,0.2335,3.8559
A,HF,20.8.26 A Block new004_20260820_171727,77,4.6997,0.2335,4.4662
A,HF,20.8.26 A Block new005_20260820_171756,77,4.6997,0.2335,4.4662
A,HF,20.8.26 A Block new006_20260820_171821,77,4.6997,0.2335,4.4662
A,HF,20.8.26 A Block new007_20260820_171844,76,4.6387,0.2335,4.4052
A,HF,20.8.26 A Block new008_20260820_171909,76,4.6387,0.2335,4.4052
A,HF,20.8.26 A Block new009_20260820_171936,76,4.6387,0.2335,4.4052
A,HF,20.8.26 A Block new010_20260820_172014,76,4.6387,0.2335,4.4052
A,HF,20.8.26 A Block new011_20260820_172050,77,4.6997,0.2335,4.4662
A,HF,20.8.26 A Block new012_20260820_172115,76,4.6387,0.2335,4.4052
A,HF,20.8.26 A Block new013_20260820_172200,76,4.6387,0.2335,4.4052
A,HF,20.8.26 A Block new014_20260820_172243,76,4.6387,0.2335,4.4052
A,HF,20.8.26 A Block new015_20260820_172313,77,4.6997,0.2335,4.4662
A,HF,20.8.26 A Block new016_20260820_172355,76,4.6387,0.2335,4.4052
A,HF,20.8.26 A Block new017_20260820_172444,76,4.6387,0.2335,4.4052
A,HF,20.8.26 A Block new018_20260820_172527,77,4.6997,0.2335,4.4662
A,HF,20.8.26 A Block new019_20260820_172601,77,4.6997,0.2335,4.4662
A,HF,20.8.26 A Block new020_20260820_172646,76,4.6387,0.2335,4.4052
A,HF,20.8.26 A Block new021_20260820_172720,77,4.6997,0.2335,4.4662
A,HF,20.8.26 A Block new022_20260820_172754,77,4.6997,0.2335,4.4662
A,HF,20.8.26 A Block new023_20260820_172828,77,4.6997,0.2335,4.4662
A,HF,20.8.26 A Block new024_20260820_172858,77,4.6997,0.2335,4.4662
A,LF,20.8.26 A Block new001_20260820_171438,22,2.6855,0.8139,1.8717
A,LF,20.8.26 A Block new002_20260820_171539,22,2.6855,0.8139,1.8717
A,LF,20.8.26 A Block new003_20260820_171631,21,2.5635,0.8139,1.7496
A,LF,20.8.26 A Block new004_20260820_171727,21,2.5635,0.8139,1.7496
A,LF,20.8.26 A Block new005_20260820_171756,21,2.5635,0.8139,1.7496
A,LF,20.8.26 A Block new006_20260820_171821,21,2.5635,0.8139,1.7496
A,LF,20.8.26 A Block new007_20260820_171844,22,2.6855,0.8139,1.8717
A,LF,20.8.26 A Block new008_20260820_171909,21,2.5635,0.8139,1.7496
A,LF,20.8.26 A Block new009_20260820_171936,21,2.5635,0.8139,1.7496
A,LF,20.8.26 A Block new010_20260820_172014,22,2.6855,0.8139,1.8717
A,LF,20.8.26 A Block new011_20260820_172050,22,2.6855,0.8139,1.8717
A,LF,20.8.26 A Block new012_20260820_172115,21,2.5635,0.8139,1.7496
A,LF,20.8.26 A Block new013_20260820_172200,21,2.5635,0.8139,1.7496
A,LF,20.8.26 A Block new014_20260820_172243,21,2.5635,0.8139,1.7496
A,LF,20.8.26 A Block new015_20260820_172313,21,2.5635,0.8139,1.7496
A,LF,20.8.26 A Block new016_20260820_172355,21,2.5635,0.8139,1.7496
A,LF,20.8.26 A Block new017_20260820_172444,21,2.5635,0.8139,1.7496
A,LF,20.8.26 A Block new018_20260820_172527,21,2.5635,0.8139,1.7496
A,LF,20.8.26 A Block new019_20260820_172601,21,2.5635,0.8139,1.7496
A,LF,20.8.26 A Block new020_20260820_172646,21,2.5635,0.8139,1.7496
A,LF,20.8.26 A Block new021_20260820_172720,21,2.5635,0.8139,1.7496
A,LF,20.8.26 A Block new022_20260820_172754,22,2.6855,0.8139,1.8717
A,LF,20.8.26 A Block new023_20260820_172828,21,2.5635,0.8139,1.7496
A,LF,20.8.26 A Block new024_20260820_172858,22,2.6855,0.8139,1.8717
B,HF,20.8.26 B Block proceq new001_20260820,76,4.6387,0.2335,4.4052
B,HF,20.8.26 B Block proceq new002_20260820,76,4.6387,0.2335,4.4052
B,HF,20.8.26 B Block proceq new003_20260820,77,4.6997,0.2335,4.4662
B,HF,20.8.26 B Block proceq new004_20260820,76,4.6387,0.2335,4.4052
B,HF,20.8.26 B Block proceq new005_20260820,76,4.6387,0.2335,4.4052
B,HF,20.8.26 B Block proceq new006_20260820,63,3.8452,0.2335,3.6117
B,HF,20.8.26 B Block proceq new007_20260820,76,4.6387,0.2335,4.4052
