block,line,ntr,lag_ns,r
A,20.8.26 A Block new001_20260820_171438,218,2.7308,0.7805
A,20.8.26 A Block new002_20260820_171539,220,2.7345,0.7884
A,20.8.26 A Block new003_20260820_171631,209,3.1194,0.7775
A,20.8.26 A Block new004_20260820_171727,215,2.7204,0.7764
A,20.8.26 A Block new005_20260820_171756,221,2.7315,0.7757
A,20.8.26 A Block new006_20260820_171821,218,2.7788,0.7797
A,20.8.26 A Block new007_20260820_171844,221,2.7476,0.7712
A,20.8.26 A Block new008_20260820_171909,221,2.7467,0.7738
A,20.8.26 A Block new009_20260820_171936,220,2.7522,0.7726
A,20.8.26 A Block new010_20260820_172014,220,2.7448,0.776
A,20.8.26 A Block new011_20260820_172050,224,2.7537,0.7748
A,20.8.26 A Block new012_20260820_172115,220,2.7526,0.7714
A,20.8.26 A Block new013_20260820_172200,221,2.7777,0.759
A,20.8.26 A Block new014_20260820_172243,215,2.752,0.7696
A,20.8.26 A Block new015_20260820_172313,219,2.7502,0.767
A,20.8.26 A Block new016_20260820_172355,220,2.7312,0.7591
A,20.8.26 A Block new017_20260820_172444,221,2.7696,0.7702
A,20.8.26 A Block new018_20260820_172527,219,2.7893,0.7644
A,20.8.26 A Block new019_20260820_172601,220,2.7389,0.7645
A,20.8.26 A Block new020_20260820_172646,211,2.7408,0.7741
A,20.8.26 A Block new021_20260820_172720,213,2.7908,0.7722
A,20.8.26 A Block new022_20260820_172754,222,2.758,0.783
A,20.8.26 A Block new023_20260820_172828,218,2.78,0.7669
A,20.8.26 A Block new024_20260820_172858,216,2.794,0.7872
B,20.8.26 B Block proceq new001_20260820,387,2.7753,0.7755
B,20.8.26 B Block proceq new002_20260820,384,2.7663,0.7732
B,20.8.26 B Block proceq new003_20260820,385,2.7715,0.777
B,20.8.26 B Block proceq new004_20260820,384,2.7494,0.7759
B,20.8.26 B Block proceq new005_20260820,384,2.7139,0.7709
B,20.8.26 B Block proceq new006_20260820,385,2.7252,0.7749
B,20.8.26 B Block proceq new007_20260820,388,2.7581,0.7579
B,20.8.26 B Block proceq new008_20260820,386,2.7503,0.7612
B,20.8.26 B Block proceq new009_20260820,385,2.7561,0.7495
B,20.8.26 B Block proceq new010_20260820,382,2.6671,0.7599
B,20.8.26 B Block proceq new011_20260820,385,2.6538,0.7731
B,20.8.26 B Block proceq new012_20260820,380,2.6986,0.7704
B,20.8.26 B Block proceq new013_20260820,381,2.7008,0.7491
B,20.8.26 B Block proceq new014_20260820,247,2.7401,0.7663
B,20.8.26 B Block proceq new015_20260820,242,2.7459,0.7657
B,20.8.26 B Block proceq new016_20260820,245,2.7437,0.7744
B,20.8.26 B Block proceq new017_20260820,244,2.772,0.7737
B,20.8.26 B Block proceq new018_20260820,242,2.7607,0.7759
B,20.8.26 B Block proceq new019_20260820,242,2.774,0.7803
B,20.8.26 B Block proceq new020_20260820,243,2.7512,0.7827
B,20.8.26 B Block proceq new021_20260820,241,2.749,0.7791
B,20.8.26 B Block proceq new022_20260820,244,2.7287,0.779
B,20.8.26 B Block proceq new023_20260820,242,2.7285,0.7678
B,20.8.26 B Block proceq new024_20260820,253,2.6384,0.7784
B,20.8.26 B Block proceq new025_20260820,242,2.6965,0.7739
B,20.8.26 B Block proceq new026_20260820,242,2.6333,0.7748
B,20.8.26 B Block proceq new027_20260820,244,2.7939,0.7278
B,20.8.26 B Block proceq new028_20260820,244,2.7019,0.735
B,20.8.26 B Block proceq new029_20260820,241,2.5464,0.798
B,20.8.26 B Block proceq new030_20260820,244,2.6585,0.771
B,20.8.26 B Block proceq new031_20260820,242,2.6631,0.7517
B,20.8.26 B Block proceq new032_20260820,242,2.6234,0.723
B,20.8.26 B Block proceq new033_20260820,243,2.6762,0.7307
C,20.8.26 C Block new001_20260820_184938,280,2.7366,0.7697
C,20.8.26 C Block new002_20260820_185029,284,2.7673,0.7731
C,20.8.26 C Block new003_20260820_185105,280,2.7591,0.7741
C,20.8.26 C Block new004_20260820_185141,283,2.7528,0.7736
C,20.8.26 C Block new005_20260820_185215,280,2.7481,0.7809
C,20.8.26 C Block new006_20260820_185244,278,2.715,0.7928
C,20.8.26 C Block new007_20260820_185316,279,2.7551,0.7899
C,20.8.26 C Block new008_20260820_185350,272,2.6678,0.7731
C,20.8.26 C Block new009_20260820_185437,273,2.6508,0.7681
C,20.8.26 C Block new010_20260820_185516,275,2.7539,0.7412
C,20.8.26 C Block new011_20260820_185552,265,2.7281,0.7753
C,20.8.26 C Block new012_20260820_185636,269,2.6365,0.7645
C,20.8.26 C Block new013_20260820_185720,273,2.6872,0.7808
C,20.8.26 C Block new014_20260820_185757,270,2.7236,0.788
C,20.8.26 C Block new015_20260820_185903,285,2.826,0.7717
C,20.8.26 C Block new016_20260820_185945,270,2.8512,0.7691
C,20.8.26 C Block new017_20260820_190026,286,2.6092,0.7733
C,20.8.26 C Block new018_20260820_190126,317,2.7065,0.768
C,20.8.26 C Block new019_20260820_190254,310,2.7075,0.7711
C,20.8.26 C Block new020_20260820_190358,315,2.6747,0.7727
C,20.8.26 C Block new021_20260820_190446,311,2.7376,0.7428
C,20.8.26 C Block new022_20260820_190551,331,2.7136,0.7552
C,20.8.26 C Block new023_20260820_190635,323,2.7127,0.7722
C,20.8.26 C Block new024_20260820_190718,326,2.7896,0.7685
C,20.8.26 C Block new025_20260820_190806,316,2.9529,0.7718
C,20.8.26 C Block new026_20260820_190851,314,2.721,0.7831
C,20.8.26 C Block new027_20260820_190934,318,2.7085,0.777
C,20.8.26 C Block new028_20260820_191017,317,2.7516,0.7767
C,20.8.26 C Block new029_20260820_191116,319,2.7327,0.7744
C,20.8.26 C Block new030_20260820_191219,320,2.6848,0.78
C,20.8.26 C Block new031_20260820_191325,321,2.7374,0.7824
C,20.8.26 C Block new032_20260820_191405,321,2.6089,0.7763
