block,line,trace,samp,t0_ns,v,rdp,semb,vwidth
A,20.8.26 A Block new001_20260820_17,70,176,10.742,0.16,3.51,11.0947,0.006
A,20.8.26 A Block new001_20260820_17,117,284,17.334,0.1015,8.72,9.8539,0.012
A,20.8.26 A Block new001_20260820_17,92,108,6.592,0.1195,6.29,9.1454,0.0255
A,20.8.26 A Block new002_20260820_17,45,260,15.869,0.1645,3.32,10.584,0.012
A,20.8.26 A Block new002_20260820_17,102,236,14.404,0.0865,12.01,10.8322,0.0015
A,20.8.26 A Block new002_20260820_17,114,262,15.991,0.0955,9.85,10.883,0.003
A,20.8.26 A Block new002_20260820_17,167,310,18.921,0.0955,9.85,10.6323,0.0045
A,20.8.26 A Block new003_20260820_17,82,164,10.01,0.0925,10.5,9.8735,0.0045
A,20.8.26 A Block new003_20260820_17,52,174,10.62,0.169,3.15,9.6872,0.0165
A,20.8.26 A Block new003_20260820_17,72,322,19.653,0.1705,3.09,10.0368,0.0075
A,20.8.26 A Block new004_20260820_17,116,200,12.207,0.1645,3.32,10.8024,0.012
A,20.8.26 A Block new004_20260820_17,50,216,13.184,0.1555,3.72,11.8346,0.0195
A,20.8.26 A Block new005_20260820_17,150,204,12.451,0.16,3.51,11.7052,0.0285
A,20.8.26 A Block new005_20260820_17,166,101,6.165,0.1495,4.02,11.4183,0.012
A,20.8.26 A Block new005_20260820_17,114,207,12.634,0.1405,4.55,10.6204,0.0075
A,20.8.26 A Block new006_20260820_17,156,192,11.719,0.1225,5.99,13.2986,0.009
A,20.8.26 A Block new006_20260820_17,154,246,15.015,0.1675,3.2,12.3522,0.0345
A,20.8.26 A Block new007_20260820_17,72,154,9.399,0.1285,5.44,9.9806,0.0105
A,20.8.26 A Block new007_20260820_17,162,288,17.578,0.112,7.16,10.1852,0.009
A,20.8.26 A Block new008_20260820_17,115,276,16.846,0.103,8.47,9.6614,0.0045
A,20.8.26 A Block new009_20260820_17,53,276,16.846,0.1,8.99,11.8923,0.0015
A,20.8.26 A Block new009_20260820_17,87,226,13.794,0.1045,8.23,11.5557,0.003
A,20.8.26 A Block new009_20260820_17,45,244,14.893,0.1135,6.98,10.1642,0.003
A,20.8.26 A Block new010_20260820_17,73,278,16.968,0.1075,7.78,10.782,0.006
A,20.8.26 A Block new010_20260820_17,137,108,6.592,0.0895,11.22,9.5841,0.009
A,20.8.26 A Block new010_20260820_17,81,310,18.921,0.1555,3.72,10.2273,0.0105
A,20.8.26 A Block new011_20260820_17,160,240,14.648,0.1735,2.99,10.2696,0.006
A,20.8.26 A Block new011_20260820_17,147,206,12.573,0.169,3.15,9.6532,0.0045
A,20.8.26 A Block new011_20260820_17,118,228,13.916,0.106,8.0,10.7528,0.009
A,20.8.26 A Block new012_20260820_17,54,107,6.531,0.154,3.79,10.4235,0.006
A,20.8.26 A Block new012_20260820_17,160,152,9.277,0.109,7.56,9.8393,0.0135
A,20.8.26 A Block new012_20260820_17,122,132,8.057,0.1555,3.72,9.8443,0.012
A,20.8.26 A Block new012_20260820_17,97,164,10.01,0.139,4.65,10.387,0.0105
A,20.8.26 A Block new013_20260820_17,45,122,7.446,0.16,3.51,9.339,0.0135
A,20.8.26 A Block new013_20260820_17,123,208,12.695,0.1255,5.71,11.2069,0.015
A,20.8.26 A Block new013_20260820_17,88,166,10.132,0.109,7.56,10.4309,0.0225
A,20.8.26 A Block new014_20260820_17,76,128,7.813,0.157,3.65,10.5313,0.0045
A,20.8.26 A Block new014_20260820_17,167,122,7.446,0.085,12.44,9.7689,0.0045
A,20.8.26 A Block new014_20260820_17,127,190,11.597,0.0895,11.22,10.4349,0.006
A,20.8.26 A Block new015_20260820_17,61,176,10.742,0.118,6.45,10.0572,0.009
A,20.8.26 A Block new015_20260820_17,45,276,16.846,0.1555,3.72,10.0982,0.012
A,20.8.26 A Block new015_20260820_17,165,128,7.813,0.1645,3.32,10.0016,0.006
A,20.8.26 A Block new016_20260820_17,76,230,14.038,0.094,10.17,10.187,0.0075
A,20.8.26 A Block new016_20260820_17,95,184,11.23,0.142,4.46,10.5423,0.0105
A,20.8.26 A Block new016_20260820_17,133,252,15.381,0.1525,3.86,11.1618,0.0105
A,20.8.26 A Block new016_20260820_17,87,268,16.357,0.1315,5.2,9.3481,0.009
A,20.8.26 A Block new017_20260820_17,78,222,13.55,0.109,7.56,10.7073,0.0015
A,20.8.26 A Block new017_20260820_17,144,290,17.7,0.118,6.45,11.83,0.003
A,20.8.26 A Block new017_20260820_17,100,143,8.728,0.13,5.32,10.0093,0.0075
A,20.8.26 A Block new018_20260820_17,58,174,10.62,0.1435,4.36,10.4937,0.0105
A,20.8.26 A Block new018_20260820_17,127,254,15.503,0.0865,12.01,9.3684,0.006
A,20.8.26 A Block new019_20260820_17,69,201,12.268,0.0865,12.01,11.8301,0.0015
A,20.8.26 A Block new019_20260820_17,59,226,13.794,0.085,12.44,9.6224,0.0015
