block,line_no,csv,Repetition Rate [scans/cm],Scan Direction,Mode,Units,Firmware Version,App Version,Probe S/N,File Name,nsamp_LF,nsamp_HF,win_LF,win_HF,fs_LF,fs_HF,antsp_LF,antsp_HF,scan_m,startx,starty,n_line_entries,ntr_HF,ns_HF,dt_HF,fmt_HF,sgy_HF,ntr_LF,ns_LF,dt_LF,fmt_LF,sgy_LF
A,1,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new001_20260820_171438\20.8.26 A Block new001_20260820_171438_20260821_113207.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 A Block new001,664,655,81,40,8.19,16.38,24.4,7.0,5.425,0.0,0.0,1,218,655,61,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new001_20260820_171438\20.8.26 A Block new001_20260820_171438_20260821_113207_HF.sgy,218,664,122,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new001_20260820_171438\20.8.26 A Block new001_20260820_171438_20260821_113207_LF.sgy
A,2,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new002_20260820_171539\20.8.26 A Block new002_20260820_171539_20260821_113207.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 A Block new002,664,655,81,40,8.19,16.38,24.4,7.0,5.475,0.0,0.0,1,220,655,61,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new002_20260820_171539\20.8.26 A Block new002_20260820_171539_20260821_113207_HF.sgy,220,664,122,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new002_20260820_171539\20.8.26 A Block new002_20260820_171539_20260821_113207_LF.sgy
A,3,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new003_20260820_171631\20.8.26 A Block new003_20260820_171631_20260821_113207.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 A Block new003,664,655,81,40,8.19,16.38,24.4,7.0,5.2,0.0,0.0,1,209,655,61,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new003_20260820_171631\20.8.26 A Block new003_20260820_171631_20260821_113207_HF.sgy,209,664,122,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new003_20260820_171631\20.8.26 A Block new003_20260820_171631_20260821_113207_LF.sgy
A,4,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new004_20260820_171727\20.8.26 A Block new004_20260820_171727_20260821_113207.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 A Block new004,664,655,81,40,8.19,16.38,24.4,7.0,5.35,0.0,0.0,1,215,655,61,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new004_20260820_171727\20.8.26 A Block new004_20260820_171727_20260821_113207_HF.sgy,215,664,122,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new004_20260820_171727\20.8.26 A Block new004_20260820_171727_20260821_113207_LF.sgy
A,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new005_20260820_171756\20.8.26 A Block new005_20260820_171756_20260821_113207.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 A Block new005,664,655,81,40,8.19,16.38,24.4,7.0,5.5,0.0,0.0,1,221,655,61,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new005_20260820_171756\20.8.26 A Block new005_20260820_171756_20260821_113207_HF.sgy,221,664,122,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new005_20260820_171756\20.8.26 A Block new005_20260820_171756_20260821_113207_LF.sgy
A,6,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new006_20260820_171821\20.8.26 A Block new006_20260820_171821_20260821_113207.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 A Block new006,664,655,81,40,8.19,16.38,24.4,7.0,5.425,0.0,0.0,1,218,655,61,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new006_20260820_171821\20.8.26 A Block new006_20260820_171821_20260821_113207_HF.sgy,218,664,122,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new006_20260820_171821\20.8.26 A Block new006_20260820_171821_20260821_113207_LF.sgy
A,7,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new007_20260820_171844\20.8.26 A Block new007_20260820_171844_20260821_113207.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 A Block new007,664,655,81,40,8.19,16.38,24.4,7.0,5.5,0.0,0.0,1,221,655,61,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new007_20260820_171844\20.8.26 A Block new007_20260820_171844_20260821_113207_HF.sgy,221,664,122,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new007_20260820_171844\20.8.26 A Block new007_20260820_171844_20260821_113207_LF.sgy
A,8,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new008_20260820_171909\20.8.26 A Block new008_20260820_171909_20260821_113207.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 A Block new008,664,655,81,40,8.19,16.38,24.4,7.0,5.5,0.0,0.0,1,221,655,61,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new008_20260820_171909\20.8.26 A Block new008_20260820_171909_20260821_113207_HF.sgy,221,664,122,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new008_20260820_171909\20.8.26 A Block new008_20260820_171909_20260821_113207_LF.sgy
A,9,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new009_20260820_171936\20.8.26 A Block new009_20260820_171936_20260821_113207.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 A Block new009,664,655,81,40,8.19,16.38,24.4,7.0,5.475,0.0,0.0,1,220,655,61,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new009_20260820_171936\20.8.26 A Block new009_20260820_171936_20260821_113207_HF.sgy,220,664,122,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new009_20260820_171936\20.8.26 A Block new009_20260820_171936_20260821_113207_LF.sgy
A,10,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new010_20260820_172014\20.8.26 A Block new010_20260820_172014_20260821_113207.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 A Block new010,664,655,81,40,8.19,16.38,24.4,7.0,5.475,0.0,0.0,1,220,655,61,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new010_20260820_172014\20.8.26 A Block new010_20260820_172014_20260821_113207_HF.sgy,220,664,122,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new010_20260820_172014\20.8.26 A Block new010_20260820_172014_20260821_113207_LF.sgy
