trace_id,vertex,x_cm,y_cm,length_m
1,0,423.8,151.9,4.20
1,1,424.6,152.6,4.20
1,2,429.3,155.7,4.20
1,3,434.5,158.0,4.20
1,4,439.1,160.4,4.20
1,5,454.2,170.3,4.20
1,6,457.6,171.4,4.20
1,7,462.9,172.8,4.20
1,8,468.2,174.2,4.20
1,9,489.4,178.2,4.20
1,10,493.5,180.0,4.20
1,11,498.3,181.9,4.20
1,12,503.4,183.3,4.20
1,13,508.5,184.3,4.20
1,14,513.7,185.3,4.20
1,15,518.9,186.6,4.20
1,16,532.2,189.9,4.20
1,17,537.4,191.3,4.20
1,18,542.7,192.9,4.20
1,19,548.0,194.4,4.20
1,20,553.2,196.2,4.20
1,21,558.4,197.7,4.20
1,22,577.0,207.0,4.20
1,23,579.3,208.2,4.20
1,24,584.5,210.7,4.20
1,25,589.2,213.2,4.20
1,26,593.8,215.6,4.20
1,27,621.9,230.3,4.20
1,28,624.3,230.4,4.20
1,29,629.1,232.1,4.20
1,30,633.9,233.9,4.20
1,31,638.7,236.2,4.20
1,32,643.5,238.4,4.20
1,33,647.2,242.3,4.20
1,34,652.0,249.0,4.20
1,35,653.2,250.7,4.20
1,36,656.3,255.1,4.20
1,37,659.9,259.5,4.20
1,38,663.4,263.4,4.20
1,39,667.0,267.3,4.20
1,40,670.0,271.7,4.20
1,41,678.0,287.1,4.20
1,42,678.6,288.2,4.20
1,43,681.6,292.6,4.20
1,44,685.2,297.1,4.20
1,45,688.8,301.0,4.20
1,46,692.5,304.7,4.20
1,47,702.6,320.3,4.20
1,48,703.3,322.8,4.20
1,49,706.4,326.9,4.20
1,50,709.6,331.0,4.20
1,51,720.2,355.9,4.20
1,52,721.2,357.3,4.20
1,53,724.9,361.4,4.20
1,54,728.1,366.1,4.20
1,55,729.8,371.4,4.20
1,56,734.0,374.9,4.20
1,57,737.7,379.0,4.20
1,58,739.9,384.3,4.20
1,59,740.6,389.7,4.20
2,0,178.2,354.3,2.28
2,1,178.0,356.7,2.28
2,2,177.0,361.7,2.28
2,3,174.6,366.8,2.28
2,4,172.2,371.2,2.28
2,5,170.5,376.2,2.28
2,6,168.8,381.2,2.28
2,7,162.4,409.6,2.28
2,8,161.7,410.3,2.28
2,9,160.9,415.4,2.28
