trace_id,vertex,x_cm,y_cm,length_m
1,0,663.4,69.8,2.01
1,1,665.9,74.3,2.01
1,2,667.4,79.7,2.01
1,3,667.8,85.1,2.01
1,4,668.3,90.5,2.01
1,5,669.2,95.9,2.01
1,6,670.6,101.0,2.01
1,7,671.6,106.0,2.01
1,8,671.5,111.0,2.01
1,9,670.3,116.0,2.01
1,10,669.1,121.1,2.01
1,11,664.6,123.5,2.01
1,12,659.6,125.2,2.01
1,13,654.6,126.9,2.01
1,14,649.6,128.9,2.01
1,15,644.5,131.0,2.01
1,16,639.4,132.4,2.01
1,17,634.3,133.7,2.01
1,18,629.2,135.1,2.01
1,19,624.0,136.8,2.01
1,20,618.9,138.5,2.01
1,21,613.8,140.3,2.01
1,22,608.7,141.2,2.01
1,23,603.3,142.1,2.01
1,24,598.3,142.5,2.01
1,25,593.2,143.5,2.01
1,26,588.2,145.2,2.01
1,27,583.1,147.3,2.01
1,28,578.5,149.3,2.01
1,29,575.0,153.2,2.01
1,30,571.6,157.2,2.01
1,31,568.7,162.1,2.01
1,32,564.8,165.6,2.01
1,33,560.1,168.2,2.01
1,34,555.4,170.3,2.01
1,35,550.6,172.0,2.01
1,36,545.2,173.4,2.01
1,37,540.9,176.4,2.01
1,38,541.2,181.7,2.01
2,0,532.8,500.3,1.86
2,1,530.7,495.7,1.86
2,2,532.4,490.7,1.86
2,3,533.4,485.7,1.86
2,4,535.1,480.7,1.86
2,5,535.5,476.9,1.86
2,6,536.6,473.5,1.86
2,7,537.0,468.4,1.86
2,8,537.3,463.3,1.86
2,9,537.1,458.3,1.86
2,10,538.1,453.2,1.86
2,11,538.4,447.6,1.86
2,12,538.8,441.7,1.86
2,13,539.9,436.8,1.86
2,14,540.3,430.9,1.86
2,15,540.7,425.0,1.86
2,16,541.1,419.1,1.86
2,17,541.6,413.2,1.86
2,18,542.0,407.4,1.86
2,19,543.0,401.5,1.86
2,20,544.1,396.5,1.86
2,21,545.2,391.6,1.86
2,22,545.6,385.7,1.86
2,23,547.9,380.7,1.86
2,24,550.7,375.7,1.86
2,25,552.9,370.6,1.86
2,26,554.7,365.6,1.86
2,27,556.0,360.6,1.86
2,28,556.8,355.6,1.86
2,29,558.1,350.6,1.86
2,30,561.3,346.4,1.86
2,31,563.7,342.0,1.86
2,32,564.6,339.8,1.86
2,33,565.5,338.5,1.86
2,34,568.3,334.1,1.86
2,35,571.1,329.9,1.86
2,36,573.9,325.7,1.86
2,37,574.8,324.0,1.86
3,0,574.0,262.8,1.85
3,1,572.4,262.6,1.85
3,2,567.8,260.3,1.85
3,3,563.1,258.0,1.85
3,4,558.5,255.4,1.85
3,5,553.8,253.1,1.85
3,6,538.1,245.2,1.85
3,7,533.6,242.9,1.85
3,8,528.5,241.4,1.85
3,9,523.4,240.8,1.85
3,10,518.3,239.8,1.85
3,11,513.2,238.7,1.85
3,12,508.2,238.1,1.85
3,13,506.9,237.7,1.85
3,14,501.9,236.7,1.85
3,15,496.7,235.8,1.85
3,16,491.7,234.9,1.85
3,17,486.7,233.2,1.85
3,18,482.7,229.8,1.85
3,19,478.7,226.0,1.85
3,20,474.7,222.2,1.85
3,21,471.3,218.0,1.85
3,22,467.8,214.2,1.85
3,23,463.3,210.9,1.85
3,24,459.8,207.0,1.85
3,25,458.4,201.9,1.85
3,26,454.9,198.1,1.85
3,27,449.9,196.8,1.85
3,28,444.8,196.2,1.85
3,29,439.8,195.6,1.85
3,30,434.6,193.4,1.85
3,31,429.5,191.2,1.85
3,32,425.3,188.1,1.85
3,33,420.5,185.9,1.85
3,34,417.4,181.6,1.85
3,35,416.8,180.9,1.85
4,0,34.4,695.7,1.81
4,1,36.9,691.0,1.81
4,2,41.5,687.9,1.81
4,3,45.7,685.3,1.81
4,4,67.0,677.3,1.81
4,5,72.1,675.6,1.81
4,6,77.1,673.0,1.81
4,7,82.0,671.3,1.81
4,8,85.5,667.7,1.81
4,9,81.0,664.7,1.81
4,10,75.8,663.8,1.81
4,11,70.8,666.0,1.81
4,12,65.7,667.1,1.81
4,13,60.6,667.7,1.81
4,14,55.5,668.8,1.81
4,15,50.4,668.9,1.81
4,16,48.3,668.5,1.81
4,17,36.7,671.2,1.81
4,18,33.3,672.3,1.81
4,19,28.2,672.9,1.81
4,20,23.7,675.5,1.81
4,21,18.8,676.7,1.81
4,22,13.6,677.4,1.81
4,23,8.8,679.1,1.81
4,24,3.9,680.3,1.81
4,25,0.1,683.9,1.81
4,26,-14.6,663.0,1.81
4,27,-20.0,663.1,1.81
5,0,626.3,255.3,1.72
5,1,622.1,255.4,1.72
5,2,616.8,255.8,1.72
5,3,611.5,255.7,1.72
5,4,606.1,256.6,1.72
5,5,601.3,258.4,1.72
5,6,596.4,259.8,1.72
5,7,591.1,260.8,1.72
5,8,585.8,261.5,1.72
5,9,580.4,262.1,1.72
5,10,575.1,262.8,1.72
5,11,572.7,267.4,1.72
5,12,572.0,272.6,1.72
5,13,571.7,277.7,1.72
5,14,571.4,282.9,1.72
5,15,570.6,287.9,1.72
5,16,567.3,291.8,1.72
5,17,562.5,293.6,1.72
5,18,557.7,295.8,1.72
5,19,552.4,296.8,1.72
5,20,547.4,298.6,1.72
5,21,542.2,299.8,1.72
5,22,537.1,300.7,1.72
5,23,532.0,302.2,1.72
5,24,526.8,303.8,1.72
5,25,521.7,304.8,1.72
5,26,497.9,310.9,1.72
5,27,496.3,311.5,1.72
5,28,491.5,313.2,1.72
5,29,486.7,314.9,1.72
5,30,481.5,316.5,1.72
6,0,441.9,331.1,1.70
6,1,436.5,331.0,1.70
6,2,431.1,331.1,1.70
6,3,428.4,335.4,1.70
6,4,427.1,340.4,1.70
6,5,427.6,345.5,1.70
6,6,426.6,355.5,1.70
6,7,426.3,357.8,1.70
6,8,426.6,362.9,1.70
6,9,426.5,367.9,1.70
6,10,428.5,372.9,1.70
6,11,431.8,377.4,1.70
6,12,435.5,381.4,1.70
6,13,453.3,410.6,1.70
6,14,453.9,412.6,1.70
6,15,455.5,417.8,1.70
6,16,457.7,423.4,1.70
6,17,458.3,428.5,1.70
6,18,460.2,439.9,1.70
6,19,460.8,445.0,1.70
6,20,462.5,450.1,1.70
6,21,464.6,455.7,1.70
6,22,466.8,461.3,1.70
6,23,468.9,466.9,1.70
6,24,471.0,471.7,1.70
6,25,473.2,476.6,1.70
6,26,474.2,477.9,1.70
7,0,255.2,36.8,1.67
7,1,256.7,36.9,1.67
7,2,261.9,36.6,1.67
7,3,267.0,36.7,1.67
7,4,272.1,36.7,1.67
7,5,277.3,36.4,1.67
7,6,282.4,36.7,1.67
7,7,287.3,38.9,1.67
7,8,292.3,40.6,1.67
7,9,297.4,42.3,1.67
7,10,302.3,44.4,1.67
7,11,307.3,46.6,1.67
