id,length_m,width_mm,persistence,x0_cm,x1_cm,y0_cm,y1_cm,orientation_deg
27,18.62,8.4,0.476,4.0,206.0,102.0,546.0,5.9
2,2.28,9.4,0.921,48.0,124.0,4.0,92.0,159.0
89,1.42,12.2,0.243,214.0,274.0,504.0,546.0,65.6
16,0.78,11.8,0.192,358.0,394.0,58.0,86.0,49.2
35,0.74,8.4,0.256,458.0,494.0,110.0,140.0,42.5
29,0.7,10.9,0.273,260.0,292.0,104.0,144.0,143.4
68,0.7,10.3,0.433,132.0,168.0,264.0,292.0,58.4
84,0.66,12.9,0.575,442.0,472.0,452.0,488.0,156.6
62,0.64,17.8,0.193,306.0,344.0,236.0,258.0,110.6
18,0.62,6.5,0.277,408.0,440.0,62.0,88.0,39.7
78,0.62,5.2,0.387,4.0,44.0,378.0,394.0,94.1
92,0.62,6.7,0.46,6.0,30.0,508.0,546.0,22.5
34,0.6,7.7,0.346,408.0,444.0,110.0,136.0,63.0
45,0.6,9.6,0.178,460.0,490.0,158.0,192.0,41.8
3,0.58,12.7,0.678,148.0,170.0,4.0,44.0,175.8
32,0.56,11.9,0.14,376.0,392.0,108.0,140.0,177.3
75,0.56,11.4,0.782,492.0,520.0,352.0,388.0,146.0
4,0.54,6.0,0.726,356.0,396.0,4.0,22.0,88.9
26,0.54,10.8,1.532,4.0,14.0,98.0,142.0,4.5
55,0.54,18.0,0.557,204.0,210.0,192.0,244.0,174.0
73,0.54,5.3,0.51,4.0,26.0,308.0,340.0,26.1
81,0.54,12.4,0.318,206.0,236.0,406.0,444.0,36.6
11,0.5,5.4,0.297,418.0,442.0,24.0,42.0,76.8
56,0.5,14.4,0.287,304.0,340.0,206.0,224.0,73.5
57,0.48,15.3,0.172,354.0,392.0,212.0,222.0,92.1
71,0.48,17.7,0.336,356.0,392.0,304.0,322.0,71.6
20,0.44,15.5,0.165,324.0,346.0,68.0,90.0,85.1
21,0.44,4.6,0.389,512.0,546.0,68.0,84.0,69.9
46,0.44,11.0,0.168,504.0,546.0,162.0,168.0,99.4
61,0.44,14.9,1.155,156.0,194.0,236.0,244.0,84.0
82,0.44,6.1,0.483,4.0,32.0,414.0,440.0,49.7
44,0.42,10.5,0.239,362.0,386.0,156.0,178.0,50.5
31,0.4,10.3,0.163,320.0,342.0,108.0,130.0,44.5
72,0.4,11.8,0.643,492.0,494.0,306.0,344.0,0.8
41,0.38,17.2,0.2,238.0,242.0,152.0,188.0,1.8
66,0.38,17.5,0.341,358.0,390.0,260.0,266.0,84.4
9,0.36,5.0,0.265,336.0,344.0,12.0,40.0,2.6
36,0.36,6.3,0.733,536.0,538.0,110.0,144.0,176.7
60,0.36,11.8,0.673,128.0,144.0,222.0,242.0,3.2
15,0.34,4.2,0.701,256.0,288.0,56.0,60.0,85.2
17,0.34,5.0,0.168,478.0,494.0,58.0,86.0,24.5
24,0.34,17.7,0.135,176.0,206.0,82.0,88.0,86.6
49,0.34,19.2,0.539,174.0,194.0,180.0,194.0,117.5
63,0.32,18.3,0.255,358.0,388.0,240.0,242.0,88.2
10,0.3,6.9,0.178,484.0,494.0,20.0,40.0,174.2
43,0.3,11.0,0.383,312.0,340.0,156.0,158.0,85.7
70,0.3,7.8,0.407,10.0,32.0,278.0,288.0,82.3
8,0.28,6.7,0.358,536.0,546.0,8.0,34.0,17.6
39,0.28,15.4,0.34,106.0,130.0,132.0,144.0,67.3
47,0.28,19.4,0.377,258.0,260.0,166.0,192.0,178.5
80,0.26,13.2,0.276,344.0,356.0,402.0,416.0,90.5
85,0.26,13.0,0.807,502.0,526.0,452.0,454.0,91.9
93,0.26,10.4,0.351,356.0,364.0,526.0,544.0,16.6
6,0.24,12.6,0.033,460.0,478.0,4.0,10.0,82.7
19,0.24,17.7,0.157,258.0,264.0,68.0,90.0,168.5
53,0.24,19.2,0.156,366.0,388.0,188.0,188.0,90.0
54,0.24,10.9,0.778,132.0,154.0,192.0,194.0,95.4
14,0.22,15.4,0.378,154.0,158.0,56.0,76.0,172.5
38,0.22,17.4,0.234,234.0,244.0,126.0,142.0,28.2
48,0.22,13.0,0.207,334.0,340.0,174.0,192.0,13.8
74,0.22,19.9,0.308,412.0,432.0,308.0,310.0,86.3
77,0.22,11.8,0.494,292.0,294.0,356.0,376.0,173.7
7,0.2,9.7,0.186,482.0,500.0,4.0,6.0,90.0
13,0.2,19.1,0.7,4.0,10.0,56.0,74.0,166.5
37,0.2,6.8,0.629,506.0,524.0,116.0,120.0,77.4
58,0.2,13.9,0.172,422.0,440.0,214.0,216.0,81.7
64,0.2,16.9,0.136,268.0,276.0,242.0,254.0,18.1
83,0.2,8.9,0.286,542.0,546.0,422.0,440.0,7.5
87,0.2,6.2,0.57,304.0,306.0,464.0,482.0,176.9
90,0.2,6.3,0.977,304.0,306.0,504.0,522.0,0.4
94,0.2,9.3,0.372,442.0,454.0,528.0,544.0,136.5
