id,length_m,width_mm,persistence,angle_deg,x0,x1,y0,y1,dist_to_sketch_cm,chalk
27,18.62,8.4,0.476,84.1,4.0,206.0,102.0,546.0,60.6,0
2,2.28,9.4,0.921,111.0,48.0,124.0,4.0,92.0,12.6,0
89,1.42,12.2,0.243,24.4,214.0,274.0,504.0,546.0,43.5,0
16,0.78,11.8,0.192,40.8,358.0,394.0,58.0,86.0,3.6,0
35,0.74,8.4,0.256,47.5,458.0,494.0,110.0,140.0,46.4,0
29,0.7,10.9,0.273,126.6,260.0,292.0,104.0,144.0,22.1,0
68,0.7,10.3,0.433,31.6,132.0,168.0,264.0,292.0,48.1,0
84,0.66,12.9,0.575,113.4,442.0,472.0,452.0,488.0,15.6,0
62,0.64,17.8,0.193,159.4,306.0,344.0,236.0,258.0,117.3,0
18,0.62,6.5,0.277,50.3,408.0,440.0,62.0,88.0,33.2,0
78,0.62,5.2,0.387,175.9,4.0,44.0,378.0,394.0,123.7,0
92,0.62,6.7,0.46,67.5,6.0,30.0,508.0,546.0,119.9,0
34,0.6,7.7,0.346,27.0,408.0,444.0,110.0,136.0,27.0,0
45,0.6,9.6,0.178,48.2,460.0,490.0,158.0,192.0,17.0,0
3,0.58,12.7,0.678,94.2,148.0,170.0,4.0,44.0,31.8,0
32,0.56,11.9,0.14,92.7,376.0,392.0,108.0,140.0,5.8,0
75,0.56,11.4,0.782,124.0,492.0,520.0,352.0,388.0,107.4,0
4,0.54,6.0,0.726,1.1,356.0,396.0,4.0,22.0,56.0,0
55,0.54,18.0,0.557,96.0,204.0,210.0,192.0,244.0,3.0,0
73,0.54,5.3,0.51,63.9,4.0,26.0,308.0,340.0,161.9,0
81,0.54,12.4,0.318,53.4,206.0,236.0,406.0,444.0,19.4,0
11,0.5,5.4,0.297,13.2,418.0,442.0,24.0,42.0,44.3,0
56,0.5,14.4,0.287,16.5,304.0,340.0,206.0,224.0,78.0,0
57,0.48,15.3,0.172,177.9,354.0,392.0,212.0,222.0,80.6,0
71,0.48,17.7,0.336,18.4,356.0,392.0,304.0,322.0,148.9,0
20,0.44,15.5,0.165,4.9,324.0,346.0,68.0,90.0,11.4,0
21,0.44,4.6,0.389,20.1,512.0,546.0,68.0,84.0,5.3,0
46,0.44,11.0,0.168,170.6,504.0,546.0,162.0,168.0,49.5,0
82,0.44,6.1,0.483,40.3,4.0,32.0,414.0,440.0,127.7,0
44,0.42,10.5,0.239,39.5,362.0,386.0,156.0,178.0,31.3,0
31,0.4,10.3,0.163,45.5,320.0,342.0,108.0,130.0,10.8,0
72,0.4,11.8,0.643,89.2,492.0,494.0,306.0,344.0,95.4,0
41,0.38,17.2,0.2,88.2,238.0,242.0,152.0,188.0,12.6,0
66,0.38,17.5,0.341,5.6,358.0,390.0,260.0,266.0,117.4,0
9,0.36,5.0,0.265,87.4,336.0,344.0,12.0,40.0,45.7,0
36,0.36,6.3,0.733,93.3,536.0,538.0,110.0,144.0,60.0,0
60,0.36,11.8,0.673,86.8,128.0,144.0,222.0,242.0,66.3,0
17,0.34,5.0,0.168,65.5,478.0,494.0,58.0,86.0,8.7,0
24,0.34,17.7,0.135,3.4,176.0,206.0,82.0,88.0,24.8,0
49,0.34,19.2,0.539,152.5,174.0,194.0,180.0,194.0,26.4,0
63,0.32,18.3,0.255,1.8,358.0,388.0,240.0,242.0,100.6,0
10,0.3,6.9,0.178,95.8,484.0,494.0,20.0,40.0,33.0,0
70,0.3,7.8,0.407,7.7,10.0,32.0,278.0,288.0,162.8,0
8,0.28,6.7,0.358,72.4,536.0,546.0,8.0,34.0,45.3,0
39,0.28,15.4,0.34,22.7,106.0,130.0,132.0,144.0,3.4,0
47,0.28,19.4,0.377,91.5,258.0,260.0,166.0,192.0,34.6,0
80,0.26,13.2,0.276,179.5,344.0,356.0,402.0,416.0,101.2,0
93,0.26,10.4,0.351,73.4,356.0,364.0,526.0,544.0,22.1,0
19,0.24,17.7,0.157,101.5,258.0,264.0,68.0,90.0,34.7,0
53,0.24,19.2,0.156,0.0,366.0,388.0,188.0,188.0,57.3,0
54,0.24,10.9,0.778,174.6,132.0,154.0,192.0,194.0,52.7,0
38,0.22,17.4,0.234,61.8,234.0,244.0,126.0,142.0,4.0,0
48,0.22,13.0,0.207,76.2,334.0,340.0,174.0,192.0,53.2,0
74,0.22,19.9,0.308,3.7,412.0,432.0,308.0,310.0,125.9,0
13,0.2,19.1,0.7,103.5,4.0,10.0,56.0,74.0,16.1,0
37,0.2,6.8,0.629,12.6,506.0,524.0,116.0,120.0,49.9,0
58,0.2,13.9,0.172,8.3,422.0,440.0,214.0,216.0,46.4,0
64,0.2,16.9,0.136,71.9,268.0,276.0,242.0,254.0,71.0,0
94,0.2,9.3,0.372,133.5,442.0,454.0,528.0,544.0,25.8,0
6,0.24,12.6,0.033,7.3,460.0,478.0,4.0,10.0,61.6,1
7,0.2,9.7,0.186,0.0,482.0,500.0,4.0,6.0,62.7,1
14,0.22,15.4,0.378,97.5,154.0,158.0,56.0,76.0,48.8,1
15,0.34,4.2,0.701,4.8,256.0,288.0,56.0,60.0,40.2,1
26,0.54,10.8,1.532,85.5,4.0,14.0,98.0,142.0,55.4,1
43,0.3,11.0,0.383,4.3,312.0,340.0,156.0,158.0,25.7,1
61,0.44,14.9,1.155,6.0,156.0,194.0,236.0,244.0,30.0,1
77,0.22,11.8,0.494,96.3,292.0,294.0,356.0,376.0,101.2,1
83,0.2,8.9,0.286,82.5,542.0,546.0,422.0,440.0,104.4,1
85,0.26,13.0,0.807,178.1,502.0,526.0,452.0,454.0,71.5,1
87,0.2,6.2,0.57,93.1,304.0,306.0,464.0,482.0,93.9,1
90,0.2,6.3,0.977,89.6,304.0,306.0,504.0,522.0,75.5,1
