id,length_m,width_mm,persistence,x0_cm,x1_cm,y0_cm,y1_cm,orientation_deg
1,2.78,9.1,0.372,106.0,240.0,4.0,42.0,95.2
16,1.86,18.0,0.705,4.0,142.0,160.0,198.0,83.2
19,1.2,19.7,0.701,188.0,294.0,190.0,216.0,81.7
2,0.52,28.6,0.177,904.0,928.0,4.0,30.0,36.0
20,0.48,53.8,0.18,624.0,634.0,204.0,236.0,0.2
6,0.42,10.7,0.4,104.0,144.0,54.0,66.0,107.0
25,0.42,22.4,0.299,606.0,634.0,256.0,274.0,63.3
29,0.4,22.9,0.309,254.0,292.0,324.0,328.0,94.3
22,0.38,22.0,0.505,408.0,444.0,232.0,238.0,81.5
23,0.38,19.8,0.464,456.0,492.0,236.0,242.0,81.1
11,0.36,47.0,0.664,632.0,634.0,106.0,140.0,175.4
21,0.36,19.1,0.706,306.0,340.0,218.0,222.0,85.0
31,0.36,22.5,0.292,208.0,242.0,328.0,336.0,102.8
34,0.36,22.3,0.284,18.0,32.0,564.0,588.0,163.5
30,0.34,17.8,0.198,760.0,788.0,326.0,340.0,80.6
33,0.32,18.9,0.286,842.0,858.0,562.0,574.0,100.8
27,0.3,18.9,0.398,204.0,232.0,276.0,284.0,105.1
3,0.28,10.5,0.344,308.0,328.0,12.0,20.0,103.9
15,0.28,19.3,0.297,710.0,736.0,156.0,162.0,100.4
18,0.28,35.2,0.226,626.0,636.0,172.0,192.0,16.6
4,0.26,9.8,0.515,272.0,292.0,14.0,26.0,115.0
17,0.26,13.7,0.456,262.0,282.0,172.0,178.0,79.6
13,0.24,9.1,0.267,60.0,74.0,126.0,144.0,34.0
26,0.22,18.7,0.386,258.0,278.0,264.0,268.0,103.4
5,0.2,9.6,0.42,6.0,22.0,54.0,66.0,128.9
7,0.2,46.0,0.339,636.0,638.0,56.0,74.0,174.4
9,0.2,7.1,0.218,186.0,190.0,76.0,94.0,168.5
12,0.2,5.6,0.256,4.0,8.0,122.0,140.0,7.9
28,0.2,18.8,0.452,222.0,240.0,304.0,304.0,90.0
