id,length_m,width_mm,persistence,x0_cm,x1_cm,y0_cm,y1_cm,orientation_deg
20,2.24,13.3,0.308,504.0,592.0,104.0,164.0,96.8
65,1.3,16.7,0.342,460.0,532.0,460.0,492.0,114.1
28,1.08,13.7,0.275,606.0,640.0,154.0,218.0,165.4
75,0.92,10.3,0.609,304.0,394.0,564.0,584.0,101.7
14,0.9,13.2,0.226,306.0,320.0,70.0,144.0,0.6
50,0.84,23.9,0.201,506.0,540.0,308.0,340.0,154.5
44,0.8,16.7,0.338,554.0,586.0,262.0,316.0,17.1
19,0.76,15.9,0.207,404.0,430.0,104.0,142.0,10.1
41,0.68,17.6,0.368,666.0,686.0,222.0,272.0,165.3
11,0.62,13.2,0.262,412.0,434.0,56.0,80.0,81.8
1,0.58,8.0,0.383,402.0,440.0,4.0,38.0,48.6
10,0.58,9.8,0.23,106.0,144.0,56.0,86.0,57.0
39,0.58,21.5,0.269,362.0,388.0,212.0,242.0,139.9
15,0.56,11.5,0.243,564.0,594.0,70.0,92.0,114.3
99,0.54,12.3,0.36,634.0,662.0,782.0,796.0,79.1
5,0.5,12.6,0.481,106.0,150.0,38.0,44.0,91.6
38,0.5,11.8,0.867,554.0,594.0,206.0,214.0,86.0
96,0.48,8.4,0.357,102.0,142.0,772.0,790.0,107.0
9,0.46,15.8,0.247,606.0,626.0,54.0,92.0,165.5
30,0.46,20.4,0.198,410.0,426.0,156.0,186.0,165.2
34,0.46,22.2,0.252,308.0,330.0,176.0,194.0,74.6
67,0.46,10.4,0.346,478.0,492.0,510.0,544.0,3.8
47,0.44,22.0,0.363,156.0,192.0,278.0,288.0,96.4
83,0.44,8.2,0.299,28.0,40.0,684.0,726.0,167.5
87,0.44,10.0,0.212,172.0,194.0,708.0,720.0,110.7
21,0.42,14.5,0.322,634.0,644.0,106.0,142.0,178.2
32,0.42,14.6,0.335,656.0,690.0,160.0,184.0,62.8
62,0.42,18.9,0.229,454.0,472.0,406.0,436.0,158.6
76,0.42,7.9,0.513,254.0,294.0,586.0,592.0,99.1
43,0.4,25.4,0.366,458.0,476.0,256.0,274.0,167.1
18,0.38,10.0,0.382,256.0,292.0,90.0,94.0,96.7
36,0.38,17.6,0.512,154.0,190.0,190.0,192.0,90.9
91,0.38,22.3,0.175,210.0,234.0,758.0,776.0,59.6
97,0.38,13.1,0.446,672.0,694.0,776.0,796.0,54.9
98,0.38,7.1,0.357,50.0,70.0,780.0,796.0,141.6
40,0.36,21.6,0.204,330.0,340.0,214.0,240.0,2.7
45,0.36,18.1,0.223,120.0,142.0,270.0,286.0,118.3
17,0.34,16.0,0.301,656.0,676.0,80.0,94.0,62.5
61,0.34,15.9,0.332,188.0,190.0,404.0,436.0,178.9
101,0.34,13.9,0.288,262.0,290.0,788.0,796.0,85.0
25,0.32,10.9,0.25,680.0,696.0,122.0,142.0,18.0
16,0.3,10.9,0.355,510.0,526.0,74.0,90.0,34.2
23,0.3,20.0,0.213,280.0,292.0,116.0,142.0,19.2
49,0.3,22.2,0.319,470.0,492.0,308.0,326.0,129.6
53,0.3,26.9,0.292,404.0,420.0,326.0,342.0,78.5
60,0.3,10.5,0.35,58.0,86.0,392.0,394.0,93.7
24,0.28,7.4,0.127,140.0,146.0,118.0,142.0,172.3
90,0.28,11.3,0.195,70.0,88.0,730.0,742.0,69.5
2,0.26,12.7,0.24,454.0,472.0,4.0,22.0,136.4
42,0.26,20.5,0.593,464.0,484.0,234.0,244.0,108.8
72,0.26,16.5,0.496,256.0,280.0,532.0,534.0,90.0
85,0.26,10.4,0.17,210.0,234.0,704.0,710.0,102.4
55,0.24,17.9,0.493,566.0,580.0,332.0,342.0,117.6
66,0.24,13.6,0.323,508.0,530.0,504.0,510.0,72.8
73,0.24,11.2,0.373,406.0,428.0,556.0,562.0,107.2
6,0.22,13.1,0.66,74.0,94.0,42.0,44.0,87.4
26,0.22,13.3,0.338,656.0,666.0,130.0,142.0,29.2
58,0.22,16.4,0.209,188.0,190.0,370.0,390.0,0.0
77,0.22,16.1,0.345,486.0,486.0,608.0,628.0,0.0
80,0.22,8.4,0.352,134.0,136.0,656.0,676.0,6.3
88,0.22,10.5,0.163,118.0,128.0,720.0,740.0,155.5
4,0.2,14.6,0.3,662.0,674.0,36.0,44.0,80.6
46,0.2,26.3,0.48,322.0,330.0,270.0,288.0,155.9
48,0.2,24.9,0.296,224.0,242.0,290.0,292.0,81.7
54,0.2,22.4,0.249,480.0,492.0,332.0,340.0,105.8
57,0.2,20.7,0.343,558.0,570.0,356.0,372.0,141.9
84,0.2,10.8,0.428,456.0,474.0,692.0,692.0,90.0
95,0.2,6.3,0.225,6.0,20.0,770.0,782.0,49.0
