block,l1,l2,r_nominal,r_best,shift_cm
A,1,13,0.1086,0.4441,17.43
A,1,14,0.3618,0.6754,12.45
A,1,15,0.5857,0.6557,7.47
A,1,16,0.5192,0.6218,4.98
A,1,17,0.1067,0.5968,7.47
A,1,18,0.4012,0.7204,2.49
A,1,19,0.4521,0.6593,4.98
A,1,20,0.5507,0.5507,0.0
A,1,21,0.6113,0.6623,2.49
A,1,22,0.5326,0.5326,0.0
A,1,23,0.6072,0.6072,0.0
A,2,13,0.509,0.5878,-12.45
A,2,14,0.5587,0.5722,-2.49
A,2,15,0.2446,0.2883,-2.49
A,2,16,-0.1522,0.0514,9.96
A,2,17,0.396,0.463,4.98
A,2,18,0.322,0.5633,-19.92
A,2,19,-0.0731,0.6643,9.96
A,2,20,0.5122,0.5519,2.49
A,2,21,0.2899,0.7042,4.98
A,2,22,0.3717,0.711,17.43
A,2,23,0.1876,0.6153,17.43
A,3,13,0.6259,0.6641,-19.92
A,3,14,0.6168,0.7634,19.92
A,3,15,0.0658,0.5009,9.96
A,3,16,0.4645,0.5742,-4.98
A,3,17,0.0646,0.6893,7.47
A,3,18,0.0371,0.5749,19.92
A,3,19,0.1893,0.5015,17.43
A,3,20,0.51,0.6046,-17.43
A,3,21,0.1335,0.3914,-7.47
A,3,22,0.2512,0.3708,17.43
A,3,23,0.1801,0.4478,7.47
A,4,13,0.245,0.5776,2.49
A,4,14,0.4298,0.5194,7.47
A,4,15,0.1633,0.4236,19.92
A,4,16,0.3074,0.6011,2.49
A,4,17,0.0764,0.4623,14.94
A,4,18,0.333,0.6401,-7.47
A,4,19,-0.0401,0.589,14.94
A,4,20,0.2911,0.5339,-14.94
A,4,21,0.4825,0.5086,-2.49
A,4,22,0.0898,0.5651,-4.98
A,4,23,0.2962,0.3861,-2.49
A,5,13,0.2812,0.5167,14.94
A,5,14,0.1745,0.6392,-14.94
A,5,15,0.2286,0.5764,12.45
A,5,16,0.3667,0.542,19.92
A,5,17,0.3754,0.6656,2.49
A,5,18,0.7023,0.7023,0.0
A,5,19,0.3804,0.6089,-17.43
A,5,20,0.3906,0.6269,-12.45
A,5,21,0.4074,0.6717,-9.96
A,5,22,0.7255,0.7314,2.49
A,5,23,0.2507,0.3822,-7.47
A,6,13,0.4871,0.52,12.45
A,6,14,0.3931,0.6211,-9.96
A,6,15,0.5437,0.597,9.96
A,6,16,0.1214,0.7205,7.47
A,6,17,0.1899,0.5791,-14.94
A,6,18,0.2741,0.6293,-17.43
A,6,19,0.4949,0.5809,-19.92
A,6,20,0.4288,0.5885,2.49
A,6,21,0.2531,0.6286,-17.43
A,6,22,0.4702,0.5239,2.49
A,6,23,0.2923,0.5701,-19.92
A,7,13,0.4573,0.4918,2.49
A,7,14,0.3145,0.6125,-9.96
A,7,15,0.2731,0.5272,-19.92
A,7,16,0.3114,0.5919,-14.94
A,7,17,0.0893,0.7475,7.47
A,7,18,0.4101,0.7021,-19.92
A,7,19,0.5167,0.7297,-2.49
A,7,20,0.3515,0.5017,-17.43
A,7,21,0.5685,0.8163,-17.43
A,7,22,0.4273,0.8353,17.43
A,7,23,0.0867,0.5157,9.96
A,8,13,0.5368,0.72,-7.47
A,8,14,0.2096,0.6013,14.94
A,8,15,0.1875,0.5181,-9.96
A,8,16,0.2405,0.5406,-17.43
A,8,17,0.2773,0.7331,-9.96
A,8,18,0.3808,0.6233,17.43
A,8,19,0.342,0.5237,-9.96
A,8,20,0.536,0.6703,-2.49
A,8,21,0.2799,0.4264,-12.45
A,8,22,0.3241,0.7742,-17.43
A,8,23,0.0956,0.6514,4.98
A,9,13,0.3555,0.5453,-17.43
A,9,14,0.1386,0.7658,-19.92
A,9,15,0.5023,0.5289,-2.49
A,9,16,0.34,0.6491,-14.94
A,9,17,0.508,0.7941,-2.49
A,9,18,0.5163,0.5419,2.49
A,9,19,0.0713,0.6455,12.45
A,9,20,0.431,0.5682,2.49
A,9,21,0.1716,0.55,12.45
A,9,22,0.5035,0.5158,4.98
A,9,23,0.505,0.5826,-14.94
A,10,13,0.3325,0.5376,-19.92
A,10,14,0.3872,0.5283,17.43
A,10,15,0.2679,0.6927,14.94
A,10,16,0.3459,0.5939,-7.47
A,10,17,0.5295,0.5295,0.0
A,10,18,0.287,0.6703,2.49
A,10,19,0.4438,0.5474,-2.49
A,10,20,0.3793,0.6059,-7.47
A,10,21,0.3637,0.557,-4.98
A,10,22,0.4058,0.5561,17.43
A,10,23,0.5016,0.6274,4.98
A,11,13,0.3865,0.5234,-19.92
A,11,14,0.4481,0.6097,-4.98
A,11,15,0.1699,0.6582,-17.43
A,11,16,0.4171,0.5573,-19.92
A,11,17,0.5311,0.7546,2.49
A,11,18,0.5983,0.6208,2.49
A,11,19,0.4796,0.4859,2.49
A,11,20,0.0437,0.5424,-9.96
A,11,21,0.3584,0.6126,-12.45
A,11,22,0.5127,0.5496,4.98
A,11,23,0.3985,0.5429,-2.49
A,11,24,0.3471,0.425,-12.45
A,12,22,0.3435,0.6406,-4.98
B,1,14,0.5035,0.5787,2.49
B,1,15,0.4405,0.4405,0.0
B,1,16,0.5757,0.5877,4.98
B,1,17,0.4878,0.6364,2.49
B,1,18,0.6368,0.6368,0.0
B,1,19,0.3209,0.4436,17.43
B,1,20,0.443,0.6158,7.47
B,1,21,0.6668,0.7514,2.49
B,1,22,0.5455,0.5455,0.0
B,1,23,0.0937,0.5467,7.47
B,1,24,0.4342,0.5554,17.43
B,1,25,0.4429,0.5746,12.45
B,1,26,0.4279,0.5407,12.45
B,1,27,0.376,0.4286,9.96
B,1,28,0.729,0.8571,7.47
B,1,29,0.7408,0.8045,4.98
B,1,30,0.6039,0.7778,7.47
B,1,31,0.5334,0.7151,4.98
B,1,32,0.4947,0.6385,4.98
B,1,33,0.366,0.6522,2.49
B,2,14,0.4207,0.6485,9.96
B,2,15,0.4189,0.7435,-4.98
B,2,16,0.4456,0.6638,-17.43
B,2,17,0.541,0.8541,-4.98
B,2,18,0.5485,0.812,-4.98
B,2,19,0.3649,0.6604,-4.98
B,2,20,0.6581,0.734,-4.98
B,2,21,0.4969,0.5998,-2.49
B,2,22,0.3937,0.591,-2.49
B,2,23,0.6248,0.6248,0.0
B,2,24,0.2488,0.5791,19.92
B,2,25,0.4448,0.6136,-2.49
B,2,26,0.1497,0.6162,12.45
B,2,27,0.4718,0.693,-2.49
B,2,28,0.6718,0.8341,-2.49
B,2,29,0.8585,0.902,-2.49
B,2,30,0.7511,0.7511,0.0
B,2,31,0.6326,0.8828,-2.49
B,2,32,0.0068,0.6596,-7.47
B,2,33,0.1319,0.7751,-12.45
B,3,14,0.6743,0.6743,0.0
B,3,15,0.4719,0.6713,-4.98
B,3,16,0.5061,0.5388,-2.49
B,3,17,0.6559,0.6592,-2.49
B,3,18,0.6911,0.6911,0.0
B,3,19,0.1833,0.7236,14.94
B,3,20,0.7124,0.7124,0.0
B,3,21,0.5373,0.7027,-2.49
B,3,22,0.6897,0.7148,-12.45
B,3,23,0.317,0.6288,-9.96
B,3,24,0.4159,0.7425,12.45
B,3,25,0.2936,0.3961,-9.96
B,3,26,0.4015,0.5239,4.98
B,3,27,0.5264,0.6655,-4.98
B,3,28,0.6489,0.7537,-2.49
B,3,29,0.7679,0.8498,2.49
B,3,30,0.9093,0.9126,-2.49
B,3,31,0.5871,0.5871,0.0
